traffic_device,config,avg_bandwidth_Mbps,std_bandwidth_Mbps
Traffic1,NON_PCN,15.993712191358025,9.834322131030627
Traffic2,NON_PCN,15.374854513064134,8.624820889844132
Traffic1,PCN,18.61259069683908,9.259261996407885
Traffic1,PCN_MIN,15.7297509057971,9.582513073293294
Traffic2,PCN_MIN,19.011818513119533,12.661776211374871
Traffic1,PCN_FIN_MIN,18.153406075418996,12.669304571366686
Traffic2,PCN_FIN_MIN,22.02683910472973,15.155214095690525
Traffic1,PCN_HARMONIC,13.033100378787879,4.744433102739276
Traffic2,PCN_HARMONIC,13.022761363636363,5.698946159727085
Traffic1,PCN_FIN_HARMONIC,14.563432573198199,9.111355033353462
Traffic2,PCN_FIN_HARMONIC,14.64359056122449,5.562812106883155
