traffic,avg_duration,std_dev
Traffic1,25.55,3.5843409436045564
Traffic2,26.6,2.3853720883753127
Traffic3,26.225,3.394756986884334
Traffic4,26.45,2.073041244162788
Traffic5,26.45,1.8701604209265044
Traffic6,26.5,2.539685019840059
