traffic_device,config,avg_bandwidth_Mbps,std_bandwidth_Mbps
Traffic1,NON_PCN,15.255587209302325,10.36596523682606
Traffic2,NON_PCN,12.839376235177864,6.3327935311380585
Traffic1,PCN,18.05137776243094,11.225422852904549
Traffic1,PCN_MIN,14.09318292025862,8.74674528409393
Traffic2,PCN_MIN,13.955231036324784,7.661060843631514
Traffic1,PCN_FIN_MIN,18.0087551510989,10.294191390165421
Traffic2,PCN_FIN_MIN,20.294820601851853,13.211010156685855
Traffic1,PCN_HARMONIC,12.509393028846153,8.54951618077778
Traffic2,PCN_HARMONIC,11.770284193840581,8.269103577766044
Traffic1,PCN_FIN_HARMONIC,13.53307269874477,4.791730167917965
Traffic2,PCN_FIN_HARMONIC,13.058937752016128,4.638144140310425
