Time (in HH:MM:SS) ,Time (s), Queue Length
12:35:13, 0.000701904296875, 1
12:35:13, 0.010455131530761719, 1
12:35:13, 0.01832866668701172, 1
12:35:13, 0.0260622501373291, 1
12:35:13, 0.03175711631774902, 1
12:35:13, 0.03750014305114746, 1
12:35:13, 0.04339241981506348, 1
12:35:13, 0.049530982971191406, 1
12:35:13, 0.05525922775268555, 1
12:35:13, 0.06118273735046387, 1
12:35:13, 0.07065463066101074, 1
12:35:13, 0.07674574851989746, 1
12:35:13, 0.08305573463439941, 1
12:35:13, 0.08946657180786133, 1
12:35:13, 0.09669184684753418, 1
12:35:13, 0.10329031944274902, 1
12:35:13, 0.10956215858459473, 1
12:35:13, 0.11583995819091797, 1
12:35:13, 0.12230229377746582, 1
12:35:13, 0.133131742477417, 1
12:35:13, 0.13965678215026855, 1
12:35:13, 0.14967823028564453, 1
12:35:13, 0.1582949161529541, 1
12:35:13, 0.16697478294372559, 1
12:35:13, 0.17569351196289062, 1
12:35:13, 0.1845381259918213, 1
12:35:13, 0.1911306381225586, 1
12:35:13, 0.19757628440856934, 1
12:35:13, 0.2037029266357422, 1
12:35:13, 0.20990562438964844, 1
12:35:13, 0.21637654304504395, 1
12:35:13, 0.22286128997802734, 1
12:35:13, 0.23134136199951172, 1
12:35:13, 0.2389662265777588, 1
12:35:13, 0.24541902542114258, 1
12:35:13, 0.25499463081359863, 1
12:35:13, 0.26122355461120605, 1
12:35:13, 0.27100396156311035, 1
12:35:13, 0.2802104949951172, 1
12:35:13, 0.28681445121765137, 1
12:35:13, 0.2931797504425049, 1
12:35:13, 0.29944491386413574, 1
12:35:13, 0.30536913871765137, 1
12:35:13, 0.3114914894104004, 1
12:35:13, 0.3182401657104492, 1
12:35:13, 0.3262779712677002, 1
12:35:13, 0.33287572860717773, 1
12:35:13, 0.3394632339477539, 1
12:35:13, 0.34591221809387207, 1
12:35:13, 0.35259175300598145, 1
12:35:13, 0.36215972900390625, 1
12:35:14, 0.3801243305206299, 1
12:35:14, 0.3867607116699219, 1
12:35:14, 0.3934962749481201, 1
12:35:14, 0.39990925788879395, 1
12:35:14, 0.40627384185791016, 1
12:35:14, 0.412722110748291, 1
12:35:14, 0.41974687576293945, 1
12:35:14, 0.42612528800964355, 1
12:35:14, 0.43459439277648926, 1
12:35:14, 0.4405684471130371, 1
12:35:14, 0.44653916358947754, 1
12:35:14, 0.4524664878845215, 1
12:35:14, 0.458585262298584, 1
12:35:14, 0.4646759033203125, 1
12:35:14, 0.4709923267364502, 1
12:35:14, 0.47891974449157715, 1
12:35:14, 0.4865577220916748, 1
12:35:14, 0.49250030517578125, 1
12:35:14, 0.498823881149292, 1
12:35:14, 0.5056846141815186, 1
12:35:14, 0.5140445232391357, 1
12:35:14, 0.5203979015350342, 1
12:35:14, 0.5266973972320557, 1
12:35:14, 0.5326230525970459, 1
12:35:14, 0.5388326644897461, 1
12:35:14, 0.546912431716919, 1
12:35:14, 0.5545473098754883, 1
12:35:14, 0.5608220100402832, 1
12:35:14, 0.5683434009552002, 0
12:35:14, 0.5741963386535645, 0
12:35:14, 0.5803430080413818, 0
12:35:14, 0.5867114067077637, 0
12:35:14, 0.5927729606628418, 0
12:35:14, 0.5993549823760986, 0
12:35:14, 0.6057291030883789, 0
12:35:14, 0.6117010116577148, 18
12:35:14, 0.6186192035675049, 1
12:35:14, 0.6250860691070557, 2
12:35:14, 0.63187575340271, 0
12:35:14, 0.6380417346954346, 0
