iteration,start_time,end_time,duration
1,2025-05-02T12:29:05.690059,2025-05-02T12:29:52.253687,46.56
2,2025-05-02T12:29:57.253955,2025-05-02T12:30:51.289187,54.04
3,2025-05-02T12:30:56.294323,2025-05-02T12:31:55.358438,59.06
4,2025-05-02T12:32:00.363668,2025-05-02T12:32:54.363410,54.0
5,2025-05-02T12:32:59.367007,2025-05-02T12:33:51.449755,52.08
6,2025-05-02T12:33:56.454248,2025-05-02T12:34:47.899199,51.44
7,2025-05-02T12:34:52.902389,2025-05-02T12:35:47.523858,54.62
8,2025-05-02T12:35:52.527307,2025-05-02T12:36:48.511186,55.98
9,2025-05-02T12:36:53.511441,2025-05-02T12:37:49.941814,56.43
10,2025-05-02T12:37:54.946252,2025-05-02T12:38:41.549549,46.6
11,2025-05-02T12:38:46.554311,2025-05-02T12:39:44.348576,57.79
12,2025-05-02T12:39:49.349360,2025-05-02T12:40:45.457610,56.11
13,2025-05-02T12:40:50.462242,2025-05-02T12:41:45.899987,55.44
14,2025-05-02T12:41:50.902354,2025-05-02T12:42:43.587454,52.69
15,2025-05-02T12:42:48.590274,2025-05-02T12:43:45.564806,56.97
16,2025-05-02T12:43:50.566246,2025-05-02T12:44:45.195821,54.63
17,2025-05-02T12:44:50.199557,2025-05-02T12:45:47.573494,57.37
18,2025-05-02T12:45:52.578276,2025-05-02T12:46:49.158819,56.58
19,2025-05-02T12:46:54.162761,2025-05-02T12:47:52.805349,58.64
20,2025-05-02T12:47:57.810407,2025-05-02T12:48:53.368332,55.56
