ID,Interval,Transfer,Bitrate,Retr,Cwnd
7,36.00-37.00,1.55 MBytes,13.0 Mbits/sec,0,112 KBytes
9,36.00-37.00,1.49 MBytes,12.5 Mbits/sec,0,96.2 KBytes
11,36.00-37.00,1.86 MBytes,15.6 Mbits/sec,0,110 KBytes
13,36.00-37.00,1.55 MBytes,13.0 Mbits/sec,0,100 KBytes
7,37.00-38.00,1.86 MBytes,15.6 Mbits/sec,0,93.3 KBytes
9,37.00-38.00,1.86 MBytes,15.6 Mbits/sec,0,109 KBytes
11,37.00-38.00,1.86 MBytes,15.6 Mbits/sec,0,123 KBytes
13,37.00-38.00,1.86 MBytes,15.6 Mbits/sec,0,115 KBytes
7,38.00-39.00,1.55 MBytes,13.0 Mbits/sec,0,109 KBytes
9,38.00-39.00,1.49 MBytes,12.5 Mbits/sec,0,122 KBytes
11,38.00-39.00,2.24 MBytes,18.8 Mbits/sec,0,180 KBytes
13,38.00-39.00,1.86 MBytes,15.6 Mbits/sec,0,126 KBytes
7,39.00-40.00,1.24 MBytes,10.4 Mbits/sec,0,87.7 KBytes
9,39.00-40.00,1.93 MBytes,16.2 Mbits/sec,0,133 KBytes
11,39.00-40.00,3.73 MBytes,31.3 Mbits/sec,0,270 KBytes
13,39.00-40.00,1.55 MBytes,13.0 Mbits/sec,0,106 KBytes
7,40.00-41.00,1.55 MBytes,13.0 Mbits/sec,34,28.3 KBytes
9,40.00-41.00,2.24 MBytes,18.8 Mbits/sec,37,29.7 KBytes
11,40.00-41.00,4.10 MBytes,34.4 Mbits/sec,113,38.2 KBytes
13,40.00-41.00,1.86 MBytes,15.6 Mbits/sec,60,31.1 KBytes
7,41.00-42.00,1.86 MBytes,15.6 Mbits/sec,4,4.24 KBytes
9,41.00-42.00,2.24 MBytes,18.8 Mbits/sec,18,9.90 KBytes
11,41.00-42.00,2.30 MBytes,19.3 Mbits/sec,15,9.90 KBytes
13,41.00-42.00,2.17 MBytes,18.2 Mbits/sec,16,11.3 KBytes
7,42.00-43.00,1.86 MBytes,15.6 Mbits/sec,5,21.2 KBytes
9,42.00-43.00,2.24 MBytes,18.8 Mbits/sec,9,24.0 KBytes
11,42.00-43.00,2.24 MBytes,18.8 Mbits/sec,6,17.0 KBytes
13,42.00-43.00,2.17 MBytes,18.2 Mbits/sec,10,14.1 KBytes
7,43.00-44.00,2.17 MBytes,18.2 Mbits/sec,0,28.3 KBytes
9,43.00-44.00,2.24 MBytes,18.8 Mbits/sec,0,17.0 KBytes
11,43.00-44.00,1.68 MBytes,14.1 Mbits/sec,0,24.0 KBytes
13,43.00-44.00,1.86 MBytes,15.6 Mbits/sec,0,26.9 KBytes
7,44.00-45.00,2.17 MBytes,18.2 Mbits/sec,23,49.5 KBytes
9,44.00-45.00,1.49 MBytes,12.5 Mbits/sec,0,29.7 KBytes
11,44.00-45.00,2.24 MBytes,18.8 Mbits/sec,4,32.5 KBytes
13,44.00-45.00,2.17 MBytes,18.2 Mbits/sec,0,49.5 KBytes
7,45.00-46.00,1.86 MBytes,15.6 Mbits/sec,4,55.1 KBytes
9,45.00-46.00,1.12 MBytes,9.38 Mbits/sec,0,43.8 KBytes
11,45.00-46.00,573 KBytes,4.69 Mbits/sec,8,32.5 KBytes
13,45.00-46.00,1.86 MBytes,15.6 Mbits/sec,2,55.1 KBytes
7,46.00-47.00,954 KBytes,7.82 Mbits/sec,0,69.3 KBytes
9,46.00-47.00,764 KBytes,6.26 Mbits/sec,7,42.4 KBytes
11,46.00-47.00,573 KBytes,4.69 Mbits/sec,3,33.9 KBytes
13,46.00-47.00,1.24 MBytes,10.4 Mbits/sec,0,70.7 KBytes
7,47.00-48.00,1.24 MBytes,10.4 Mbits/sec,0,82.0 KBytes
9,47.00-48.00,764 KBytes,6.26 Mbits/sec,0,53.7 KBytes
11,47.00-48.00,573 KBytes,4.69 Mbits/sec,0,45.2 KBytes
13,47.00-48.00,1.24 MBytes,10.4 Mbits/sec,0,82.0 KBytes
7,48.00-49.00,1.24 MBytes,10.4 Mbits/sec,0,93.3 KBytes
9,48.00-49.00,764 KBytes,6.26 Mbits/sec,0,66.5 KBytes
11,48.00-49.00,1.12 MBytes,9.38 Mbits/sec,0,56.6 KBytes
13,48.00-49.00,1.24 MBytes,10.4 Mbits/sec,0,93.3 KBytes
7,49.00-50.00,1.24 MBytes,10.4 Mbits/sec,0,103 KBytes
9,49.00-50.00,764 KBytes,6.26 Mbits/sec,0,74.9 KBytes
11,49.00-50.00,573 KBytes,4.69 Mbits/sec,0,66.5 KBytes
13,49.00-50.00,1.24 MBytes,10.4 Mbits/sec,0,103 KBytes
7,50.00-51.00,1.86 MBytes,15.6 Mbits/sec,28,65.0 KBytes
9,50.00-51.00,1.12 MBytes,9.38 Mbits/sec,6,36.8 KBytes
11,50.00-51.00,1.12 MBytes,9.38 Mbits/sec,3,45.2 KBytes
13,50.00-51.00,1.55 MBytes,13.0 Mbits/sec,31,65.0 KBytes
7,51.00-52.00,2.49 MBytes,20.9 Mbits/sec,0,89.1 KBytes
9,51.00-52.00,1.49 MBytes,12.5 Mbits/sec,0,60.8 KBytes
11,51.00-52.00,2.24 MBytes,18.8 Mbits/sec,0,69.3 KBytes
13,51.00-52.00,2.49 MBytes,20.9 Mbits/sec,0,90.5 KBytes
7,52.00-53.00,2.80 MBytes,23.5 Mbits/sec,8,69.3 KBytes
9,52.00-53.00,2.24 MBytes,18.8 Mbits/sec,0,55.1 KBytes
11,52.00-53.00,1.68 MBytes,14.1 Mbits/sec,13,59.4 KBytes
13,52.00-53.00,2.86 MBytes,24.0 Mbits/sec,1,69.3 KBytes
7,53.00-54.00,2.80 MBytes,23.5 Mbits/sec,29,17.0 KBytes
9,53.00-54.00,1.86 MBytes,15.6 Mbits/sec,7,26.9 KBytes
11,53.00-54.00,2.24 MBytes,18.8 Mbits/sec,26,12.7 KBytes
13,53.00-54.00,1.86 MBytes,15.6 Mbits/sec,35,18.4 KBytes
7,54.00-55.00,1.24 MBytes,10.4 Mbits/sec,0,31.1 KBytes
9,54.00-55.00,1.86 MBytes,15.6 Mbits/sec,0,38.2 KBytes
11,54.00-55.00,1.68 MBytes,14.1 Mbits/sec,0,39.6 KBytes
13,54.00-55.00,1.86 MBytes,15.6 Mbits/sec,0,41.0 KBytes
7,55.00-56.00,2.49 MBytes,20.9 Mbits/sec,0,39.6 KBytes
9,55.00-56.00,1.12 MBytes,9.38 Mbits/sec,7,28.3 KBytes
11,55.00-56.00,1.12 MBytes,9.38 Mbits/sec,5,18.4 KBytes
13,55.00-56.00,1.55 MBytes,13.0 Mbits/sec,0,19.8 KBytes
7,56.00-57.00,1.24 MBytes,10.4 Mbits/sec,10,14.1 KBytes
9,56.00-57.00,1.49 MBytes,12.5 Mbits/sec,4,15.6 KBytes
11,56.00-57.00,1.12 MBytes,9.38 Mbits/sec,7,14.1 KBytes
13,56.00-57.00,954 KBytes,7.82 Mbits/sec,2,9.90 KBytes
7,57.00-58.00,1.86 MBytes,15.6 Mbits/sec,0,53.7 KBytes
9,57.00-58.00,1.86 MBytes,15.6 Mbits/sec,0,55.1 KBytes
11,57.00-58.00,1.68 MBytes,14.1 Mbits/sec,0,53.7 KBytes
13,57.00-58.00,1.24 MBytes,10.4 Mbits/sec,0,48.1 KBytes
7,58.00-59.00,1.55 MBytes,13.0 Mbits/sec,0,74.9 KBytes
9,58.00-59.00,1.86 MBytes,15.6 Mbits/sec,0,74.9 KBytes
11,58.00-59.00,1.68 MBytes,14.1 Mbits/sec,0,73.5 KBytes
13,58.00-59.00,1.86 MBytes,15.6 Mbits/sec,0,69.3 KBytes
7,59.00-60.00,1.86 MBytes,15.6 Mbits/sec,0,90.5 KBytes
9,59.00-60.00,1.86 MBytes,15.6 Mbits/sec,0,91.9 KBytes
11,59.00-60.00,1.68 MBytes,14.1 Mbits/sec,0,90.5 KBytes
13,59.00-60.00,1.55 MBytes,13.0 Mbits/sec,0,86.3 KBytes
7,60.00-61.00,1.86 MBytes,15.6 Mbits/sec,0,106 KBytes
9,60.00-61.00,1.49 MBytes,12.5 Mbits/sec,0,77.8 KBytes
11,60.00-61.00,1.68 MBytes,14.1 Mbits/sec,0,77.8 KBytes
13,60.00-61.00,1.86 MBytes,15.6 Mbits/sec,0,100 KBytes
7,61.00-62.00,1.86 MBytes,15.6 Mbits/sec,38,12.7 KBytes
9,61.00-62.00,2.24 MBytes,18.8 Mbits/sec,20,14.1 KBytes
11,61.00-62.00,1.68 MBytes,14.1 Mbits/sec,6,7.07 KBytes
13,61.00-62.00,1.55 MBytes,13.0 Mbits/sec,20,11.3 KBytes
7,62.00-63.00,1.24 MBytes,10.4 Mbits/sec,0,41.0 KBytes
9,62.00-63.00,1.49 MBytes,12.5 Mbits/sec,0,45.2 KBytes
11,62.00-63.00,1.74 MBytes,14.6 Mbits/sec,0,29.7 KBytes
13,62.00-63.00,1.24 MBytes,10.4 Mbits/sec,0,41.0 KBytes
7,63.00-64.00,1.86 MBytes,15.6 Mbits/sec,21,26.9 KBytes
9,63.00-64.00,1.49 MBytes,12.5 Mbits/sec,17,26.9 KBytes
11,63.00-64.00,1.12 MBytes,9.38 Mbits/sec,28,22.6 KBytes
13,63.00-64.00,1.24 MBytes,10.4 Mbits/sec,5,22.6 KBytes
7,64.00-65.00,1.55 MBytes,13.0 Mbits/sec,15,38.2 KBytes
9,64.00-65.00,1.49 MBytes,12.5 Mbits/sec,10,36.8 KBytes
11,64.00-65.00,1.12 MBytes,9.38 Mbits/sec,0,50.9 KBytes
13,64.00-65.00,1.24 MBytes,10.4 Mbits/sec,0,49.5 KBytes
7,65.00-66.00,1.24 MBytes,10.4 Mbits/sec,38,24.0 KBytes
9,65.00-66.00,1.86 MBytes,15.6 Mbits/sec,36,33.9 KBytes
11,65.00-66.00,2.86 MBytes,24.0 Mbits/sec,16,41.0 KBytes
13,65.00-66.00,2.24 MBytes,18.8 Mbits/sec,19,42.4 KBytes
7,66.00-67.00,1.86 MBytes,15.6 Mbits/sec,26,31.1 KBytes
9,66.00-67.00,1.49 MBytes,12.5 Mbits/sec,16,46.7 KBytes
11,66.00-67.00,1.68 MBytes,14.1 Mbits/sec,7,32.5 KBytes
13,66.00-67.00,1.93 MBytes,16.2 Mbits/sec,45,22.6 KBytes
7,67.00-68.00,1.55 MBytes,13.0 Mbits/sec,29,33.9 KBytes
9,67.00-68.00,2.67 MBytes,22.4 Mbits/sec,29,45.2 KBytes
11,67.00-68.00,2.24 MBytes,18.8 Mbits/sec,18,41.0 KBytes
13,67.00-68.00,2.17 MBytes,18.2 Mbits/sec,19,50.9 KBytes
7,68.00-69.00,1.55 MBytes,13.0 Mbits/sec,18,42.4 KBytes
9,68.00-69.00,1.86 MBytes,15.6 Mbits/sec,34,49.5 KBytes
11,68.00-69.00,2.80 MBytes,23.5 Mbits/sec,0,70.7 KBytes
13,68.00-69.00,2.49 MBytes,20.9 Mbits/sec,13,52.3 KBytes
7,69.00-70.00,2.17 MBytes,18.2 Mbits/sec,0,52.3 KBytes
9,69.00-70.00,2.24 MBytes,18.8 Mbits/sec,4,45.2 KBytes
11,69.00-70.00,2.86 MBytes,24.0 Mbits/sec,0,55.1 KBytes
13,69.00-70.00,2.17 MBytes,18.2 Mbits/sec,0,46.7 KBytes
7,70.00-71.00,2.49 MBytes,20.9 Mbits/sec,23,41.0 KBytes
9,70.00-71.00,2.24 MBytes,18.8 Mbits/sec,3,36.8 KBytes
11,70.00-71.00,2.86 MBytes,24.0 Mbits/sec,3,60.8 KBytes
13,70.00-71.00,2.17 MBytes,18.2 Mbits/sec,3,56.6 KBytes
7,71.00-72.00,1.86 MBytes,15.6 Mbits/sec,6,11.3 KBytes
9,71.00-72.00,1.86 MBytes,15.6 Mbits/sec,10,17.0 KBytes
11,71.00-72.00,2.24 MBytes,18.8 Mbits/sec,8,17.0 KBytes
13,71.00-72.00,2.80 MBytes,23.5 Mbits/sec,10,22.6 KBytes
7,72.00-73.00,1.86 MBytes,15.6 Mbits/sec,0,49.5 KBytes
9,72.00-73.00,1.86 MBytes,15.6 Mbits/sec,0,49.5 KBytes
11,72.00-73.00,1.68 MBytes,14.1 Mbits/sec,0,49.5 KBytes
13,72.00-73.00,1.86 MBytes,15.6 Mbits/sec,0,50.9 KBytes
7,73.00-74.00,1.55 MBytes,13.0 Mbits/sec,6,38.2 KBytes
9,73.00-74.00,1.49 MBytes,12.5 Mbits/sec,0,33.9 KBytes
11,73.00-74.00,1.68 MBytes,14.1 Mbits/sec,7,38.2 KBytes
13,73.00-74.00,1.55 MBytes,13.0 Mbits/sec,2,38.2 KBytes
7,74.00-75.00,1.24 MBytes,10.4 Mbits/sec,16,49.5 KBytes
9,74.00-75.00,764 KBytes,6.25 Mbits/sec,17,33.9 KBytes
11,74.00-75.00,1.68 MBytes,14.1 Mbits/sec,8,49.5 KBytes
13,74.00-75.00,1.24 MBytes,10.4 Mbits/sec,11,49.5 KBytes
7,75.00-76.00,1.24 MBytes,10.4 Mbits/sec,38,17.0 KBytes
9,75.00-76.00,1.12 MBytes,9.38 Mbits/sec,21,26.9 KBytes
11,75.00-76.00,1.12 MBytes,9.38 Mbits/sec,17,36.8 KBytes
13,75.00-76.00,1.86 MBytes,15.6 Mbits/sec,10,35.4 KBytes
7,76.00-77.00,1.24 MBytes,10.4 Mbits/sec,0,48.1 KBytes
9,76.00-77.00,1.49 MBytes,12.5 Mbits/sec,0,52.3 KBytes
11,76.00-77.00,1.68 MBytes,14.1 Mbits/sec,10,43.8 KBytes
