flow,avg_bw_before,avg_bw_during,avg_bw_after
flow1,24.15384615384615,15.302735042735039,18.686407766990293
flow2,20.323076923076925,15.152222222222221,20.13359223300971
flow3,22.384615384615383,15.704077253218886,16.92912621359223
flow4,22.36923076923077,15.649829059829058,18.49601941747573
flow5,20.907692307692308,14.104700854700855,20.652038834951455
flow6,23.692307692307686,14.239358974358973,18.02932038834951
flow7,23.338461538461537,13.679529914529914,20.440194174757277
flow8,21.995384615384612,14.87534188034188,17.773398058252425
