iteration,start_time,end_time,duration
1,2025-05-15T17:53:26.134189,2025-05-15T17:53:55.260177,29.13
2,2025-05-15T17:53:58.262121,2025-05-15T17:54:27.960924,29.7
3,2025-05-15T17:54:30.961941,2025-05-15T17:54:59.775081,28.81
4,2025-05-15T17:55:02.778295,2025-05-15T17:55:33.026577,30.25
5,2025-05-15T17:55:36.026973,2025-05-15T17:56:05.419240,29.39
6,2025-05-15T17:56:08.419692,2025-05-15T17:56:32.993408,24.57
7,2025-05-15T17:56:35.995483,2025-05-15T17:57:05.213664,29.22
8,2025-05-15T17:57:08.214120,2025-05-15T17:57:40.991046,32.78
9,2025-05-15T17:57:43.994201,2025-05-15T17:58:12.633477,28.64
10,2025-05-15T17:58:15.634255,2025-05-15T17:58:40.398044,24.76
11,2025-05-15T17:58:43.398274,2025-05-15T17:59:12.348201,28.95
12,2025-05-15T17:59:15.350242,2025-05-15T17:59:43.666351,28.32
13,2025-05-15T17:59:46.666587,2025-05-15T18:00:14.089309,27.42
14,2025-05-15T18:00:17.090317,2025-05-15T18:00:45.987478,28.9
15,2025-05-15T18:00:48.990269,2025-05-15T18:01:17.798552,28.81
16,2025-05-15T18:01:20.798743,2025-05-15T18:01:48.914798,28.12
17,2025-05-15T18:01:51.915003,2025-05-15T18:02:21.956403,30.04
18,2025-05-15T18:02:24.958235,2025-05-15T18:02:51.711267,26.75
19,2025-05-15T18:02:54.714250,2025-05-15T18:03:27.338376,32.62
20,2025-05-15T18:03:30.338627,2025-05-15T18:03:43.571735,13.23
