Time (in HH:MM:SS) ,Time (s), Threshold
14:16:47, 0.0008358955383300781, 40
14:16:47, 0.009180307388305664, 40
14:16:47, 0.0194094181060791, 40
14:16:47, 0.025352001190185547, 40
14:16:47, 0.030849933624267578, 40
14:16:47, 0.03647780418395996, 40
14:16:47, 0.0419926643371582, 40
14:16:47, 0.0477147102355957, 40
14:16:47, 0.05335187911987305, 40
14:16:47, 0.06032156944274902, 40
14:16:47, 0.06601667404174805, 40
14:16:47, 0.07440924644470215, 40
14:16:47, 0.0800180435180664, 40
14:16:47, 0.0865175724029541, 40
14:16:47, 0.09264588356018066, 40
14:16:47, 0.0986478328704834, 40
14:16:47, 0.10734844207763672, 40
14:16:47, 0.11379241943359375, 40
14:16:47, 0.11981773376464844, 40
14:16:47, 0.12574052810668945, 40
14:16:47, 0.13155722618103027, 40
14:16:47, 0.13744831085205078, 40
14:16:47, 0.14321160316467285, 40
14:16:47, 0.14902162551879883, 40
14:16:47, 0.15486717224121094, 40
14:16:47, 0.1608283519744873, 40
14:16:47, 0.1670551300048828, 40
14:16:47, 0.17876243591308594, 40
14:16:47, 0.18627238273620605, 40
14:16:47, 0.19237709045410156, 40
14:16:47, 0.1984717845916748, 40
14:16:47, 0.2047410011291504, 40
14:16:47, 0.21068525314331055, 40
14:16:47, 0.2167797088623047, 40
14:16:47, 0.22274112701416016, 40
14:16:47, 0.2284836769104004, 40
14:16:47, 0.2345266342163086, 40
14:16:47, 0.24042248725891113, 40
14:16:47, 0.2492506504058838, 40
14:16:47, 0.2568974494934082, 40
14:16:47, 0.2634119987487793, 40
14:16:47, 0.2695596218109131, 40
14:16:47, 0.2774496078491211, 40
14:16:47, 0.2870807647705078, 40
14:16:48, 0.29332494735717773, 40
14:16:48, 0.29952526092529297, 40
14:16:48, 0.3057708740234375, 40
14:16:48, 0.31153082847595215, 40
14:16:48, 0.31738996505737305, 40
14:16:48, 0.32362914085388184, 40
14:16:48, 0.3303375244140625, 40
14:16:48, 0.3362877368927002, 40
14:16:48, 0.34213757514953613, 40
14:16:48, 0.3482179641723633, 40
14:16:48, 0.3541297912597656, 40
14:16:48, 0.36500000953674316, 40
14:16:48, 0.3781895637512207, 40
14:16:48, 0.3840062618255615, 40
14:16:48, 0.39008545875549316, 40
14:16:48, 0.3959505558013916, 40
14:16:48, 0.40187716484069824, 40
14:16:48, 0.40854310989379883, 40
14:16:48, 0.41468119621276855, 40
14:16:48, 0.421985387802124, 40
14:16:48, 0.44150257110595703, 40
14:16:48, 0.44749999046325684, 40
14:16:48, 0.45380306243896484, 40
14:16:48, 0.4621706008911133, 40
14:16:48, 0.46817445755004883, 40
14:16:48, 0.47389888763427734, 40
14:16:48, 0.48008036613464355, 40
14:16:48, 0.4864778518676758, 40
14:16:48, 0.49242663383483887, 40
14:16:48, 0.5031106472015381, 40
14:16:48, 0.5106220245361328, 40
14:16:48, 0.5175256729125977, 40
14:16:48, 0.5240726470947266, 40
14:16:48, 0.5324058532714844, 40
14:16:48, 0.5409679412841797, 40
14:16:48, 0.5473372936248779, 40
14:16:48, 0.5532453060150146, 40
14:16:48, 0.5623013973236084, 40
14:16:48, 0.5692882537841797, 40
14:16:48, 0.5768303871154785, 40
14:16:48, 0.5833766460418701, 40
14:16:48, 0.5891802310943604, 40
14:16:48, 0.5951735973358154, 40
14:16:48, 0.6009235382080078, 40
14:16:48, 0.6074836254119873, 40
14:16:48, 0.6130452156066895, 40
14:16:48, 0.6184730529785156, 40
14:16:48, 0.6240217685699463, 40
14:16:48, 0.6301314830780029, 40
14:16:48, 0.6362159252166748, 40
14:16:48, 0.6416096687316895, 40
14:16:48, 0.6484527587890625, 40
14:16:48, 0.6543369293212891, 40
