iteration,start_time,end_time,duration
1,2025-05-15T14:54:34.778358,2025-05-15T14:54:39.831856,5.05
2,2025-05-15T14:54:42.834266,2025-05-15T14:54:48.192451,5.36
3,2025-05-15T14:54:51.194272,2025-05-15T14:54:58.065544,6.87
4,2025-05-15T14:55:01.066234,2025-05-15T14:55:07.585208,6.52
5,2025-05-15T14:55:10.587223,2025-05-15T14:55:15.538408,4.95
6,2025-05-15T14:55:18.538812,2025-05-15T14:55:22.454062,3.92
7,2025-05-15T14:55:25.454442,2025-05-15T14:55:31.443497,5.99
8,2025-05-15T14:55:34.447180,2025-05-15T14:55:40.324027,5.88
9,2025-05-15T14:55:43.326267,2025-05-15T14:55:47.569086,4.24
10,2025-05-15T14:55:50.571369,2025-05-15T14:55:55.237802,4.67
11,2025-05-15T14:55:58.242413,2025-05-15T14:56:06.888077,8.65
12,2025-05-15T14:56:09.891074,2025-05-15T14:56:15.649336,5.76
13,2025-05-15T14:56:18.650281,2025-05-15T14:56:24.539504,5.89
14,2025-05-15T14:56:27.542247,2025-05-15T14:56:32.869744,5.33
15,2025-05-15T14:56:35.870619,2025-05-15T14:56:41.726381,5.86
16,2025-05-15T14:56:44.729548,2025-05-15T14:56:50.937440,6.21
17,2025-05-15T14:56:53.938236,2025-05-15T14:56:58.008694,4.07
18,2025-05-15T14:57:01.010266,2025-05-15T14:57:05.595812,4.59
19,2025-05-15T14:57:08.596987,2025-05-15T14:57:13.918901,5.32
20,2025-05-15T14:57:16.921967,2025-05-15T14:57:23.538196,6.62
