iteration,start_time,end_time,duration
1,2025-05-01T11:26:03.740510,2025-05-01T11:26:31.760122,28.02
2,2025-05-01T11:26:34.762274,2025-05-01T11:27:03.284016,28.52
3,2025-05-01T11:27:06.287095,2025-05-01T11:27:32.658645,26.37
4,2025-05-01T11:27:35.659022,2025-05-01T11:28:01.845086,26.19
5,2025-05-01T11:28:04.846260,2025-05-01T11:28:34.839859,29.99
6,2025-05-01T11:28:37.842265,2025-05-01T11:29:08.799981,30.96
7,2025-05-01T11:29:11.802309,2025-05-01T11:29:41.891829,30.09
8,2025-05-01T11:29:44.894332,2025-05-01T11:30:13.495665,28.6
9,2025-05-01T11:30:16.498274,2025-05-01T11:30:44.227103,27.73
10,2025-05-01T11:30:47.230152,2025-05-01T11:31:15.179944,27.95
11,2025-05-01T11:31:18.180296,2025-05-01T11:31:45.964793,27.78
12,2025-05-01T11:31:48.966240,2025-05-01T11:32:15.123328,26.16
13,2025-05-01T11:32:18.126244,2025-05-01T11:32:41.755193,23.63
14,2025-05-01T11:32:44.755390,2025-05-01T11:33:11.848742,27.09
15,2025-05-01T11:33:14.850255,2025-05-01T11:33:40.561987,25.71
16,2025-05-01T11:33:43.562282,2025-05-01T11:34:09.581869,26.02
17,2025-05-01T11:34:12.582259,2025-05-01T11:34:40.924019,28.34
18,2025-05-01T11:34:43.926337,2025-05-01T11:35:07.967467,24.04
19,2025-05-01T11:35:10.970314,2025-05-01T11:35:35.421847,24.45
20,2025-05-01T11:35:38.422259,2025-05-01T11:36:03.334723,24.91
