start_time,end_time,transfer,bandwidth
0.0,1.0,1.66 MBytes,13.9 Mbits/sec
1.0,2.0,2.11 MBytes,17.7 Mbits/sec
2.0,3.0,2.42 MBytes,20.3 Mbits/sec
3.0,4.0,2.24 MBytes,18.8 Mbits/sec
4.0,5.0,2.24 MBytes,18.8 Mbits/sec
5.0,6.0,1.49 MBytes,12.5 Mbits/sec
6.0,7.0,1.24 MBytes,10.4 Mbits/sec
7.0,8.0,1.99 MBytes,16.7 Mbits/sec
8.0,9.0,1.99 MBytes,16.7 Mbits/sec
9.0,10.0,2.24 MBytes,18.8 Mbits/sec
10.0,10.17,509 KBytes,23.9 Mbits/sec
0.0,10.17,20.1 MBytes,16.6 Mbits/sec
0.0,10.21,19.5 MBytes,16.0 Mbits/sec
