iteration,start_time,end_time,duration
1,2025-04-29T17:34:14.281986,2025-04-29T17:34:23.514254,9.23
2,2025-04-29T17:34:28.518259,2025-04-29T17:34:41.260932,12.74
3,2025-04-29T17:34:46.262274,2025-04-29T17:34:56.648004,10.39
4,2025-04-29T17:35:01.650239,2025-04-29T17:35:12.419864,10.77
5,2025-04-29T17:35:17.422252,2025-04-29T17:35:28.343844,10.92
6,2025-04-29T17:35:33.346253,2025-04-29T17:35:42.997805,9.65
7,2025-04-29T17:35:48.002266,2025-04-29T17:35:51.389883,3.39
8,2025-04-29T17:35:56.394253,2025-04-29T17:36:01.485816,5.09
9,2025-04-29T17:36:06.490415,2025-04-29T17:36:18.047076,11.56
10,2025-04-29T17:36:23.050247,2025-04-29T17:36:29.030345,5.98
11,2025-04-29T17:36:34.034260,2025-04-29T17:36:41.567192,7.53
12,2025-04-29T17:36:46.567342,2025-04-29T17:36:56.990684,10.42
13,2025-04-29T17:37:01.994245,2025-04-29T17:37:11.510373,9.52
14,2025-04-29T17:37:16.514234,2025-04-29T17:37:26.976797,10.46
15,2025-04-29T17:37:31.978257,2025-04-29T17:37:42.396572,10.42
16,2025-04-29T17:37:47.398290,2025-04-29T17:37:50.708352,3.31
17,2025-04-29T17:37:55.710280,2025-04-29T17:38:05.141808,9.43
18,2025-04-29T17:38:10.142412,2025-04-29T17:38:20.477738,10.34
19,2025-04-29T17:38:25.477891,2025-04-29T17:38:35.177620,9.7
20,2025-04-29T17:38:40.182265,2025-04-29T17:38:49.982987,9.8
