iteration,start_time,end_time,duration
1,2025-05-01T17:04:29.935927,2025-05-01T17:04:34.170692,4.23
2,2025-05-01T17:04:37.170867,2025-05-01T17:04:45.736253,8.57
3,2025-05-01T17:04:48.738264,2025-05-01T17:04:55.643370,6.91
4,2025-05-01T17:04:58.645823,2025-05-01T17:05:08.027686,9.38
5,2025-05-01T17:05:11.030241,2025-05-01T17:05:19.506061,8.48
6,2025-05-01T17:05:22.506558,2025-05-01T17:05:32.608692,10.1
7,2025-05-01T17:05:35.611541,2025-05-01T17:05:45.290092,9.68
8,2025-05-01T17:05:48.293222,2025-05-01T17:05:57.252809,8.96
9,2025-05-01T17:06:00.253152,2025-05-01T17:06:09.114058,8.86
10,2025-05-01T17:06:12.114275,2025-05-01T17:06:17.790348,5.68
11,2025-05-01T17:06:20.793537,2025-05-01T17:06:27.748993,6.96
12,2025-05-01T17:06:30.750269,2025-05-01T17:06:37.969621,7.22
13,2025-05-01T17:06:40.972669,2025-05-01T17:06:47.681766,6.71
14,2025-05-01T17:06:50.683441,2025-05-01T17:07:01.340632,10.66
15,2025-05-01T17:07:04.342343,2025-05-01T17:07:13.871800,9.53
16,2025-05-01T17:07:16.874364,2025-05-01T17:07:28.090791,11.22
17,2025-05-01T17:07:31.093980,2025-05-01T17:07:42.184416,11.09
18,2025-05-01T17:07:45.186270,2025-05-01T17:07:56.447607,11.26
19,2025-05-01T17:07:59.450684,2025-05-01T17:08:10.305980,10.86
20,2025-05-01T17:08:13.306429,2025-05-01T17:08:21.934952,8.63
