Time (in HH:MM:SS) ,Time (s), Queue Length
14:54:26, 0.0007686614990234375, 0
14:54:26, 0.010297060012817383, 0
14:54:26, 0.0158841609954834, 0
14:54:26, 0.02157449722290039, 0
14:54:26, 0.029251813888549805, 0
14:54:26, 0.03543567657470703, 0
14:54:26, 0.04154515266418457, 0
14:54:26, 0.04762840270996094, 0
14:54:26, 0.054839372634887695, 0
14:54:26, 0.06124615669250488, 0
14:54:26, 0.06741213798522949, 0
14:54:26, 0.07331967353820801, 0
14:54:26, 0.07932710647583008, 0
14:54:26, 0.08569478988647461, 0
14:54:26, 0.09180831909179688, 0
14:54:26, 0.10892868041992188, 0
14:54:26, 0.1148834228515625, 0
14:54:26, 0.12104535102844238, 0
14:54:26, 0.1270918846130371, 0
14:54:26, 0.13792204856872559, 0
14:54:26, 0.16396236419677734, 0
14:54:26, 0.17466163635253906, 0
14:54:26, 0.18073725700378418, 0
14:54:26, 0.18836522102355957, 0
14:54:26, 0.19411849975585938, 0
14:54:26, 0.2041029930114746, 0
14:54:26, 0.21065044403076172, 0
14:54:26, 0.21671128273010254, 0
14:54:26, 0.22448134422302246, 0
14:54:26, 0.24161815643310547, 0
14:54:26, 0.2499399185180664, 0
14:54:26, 0.2645895481109619, 0
14:54:26, 0.2710707187652588, 0
14:54:26, 0.28040289878845215, 0
14:54:26, 0.2862727642059326, 0
14:54:26, 0.29262447357177734, 0
14:54:26, 0.2985975742340088, 0
14:54:26, 0.30446767807006836, 0
14:54:26, 0.31046509742736816, 1
14:54:26, 0.3166062831878662, 0
14:54:26, 0.324383020401001, 0
14:54:26, 0.3303101062774658, 0
14:54:26, 0.33695006370544434, 0
14:54:26, 0.3427884578704834, 0
14:54:26, 0.3484344482421875, 0
14:54:26, 0.3582780361175537, 0
14:54:26, 0.3650655746459961, 1
14:54:26, 0.3712160587310791, 0
14:54:26, 0.3772103786468506, 4
14:54:26, 0.38280344009399414, 6
14:54:26, 0.3884570598602295, 0
14:54:26, 0.39421868324279785, 0
14:54:26, 0.4000399112701416, 3
14:54:26, 0.4056813716888428, 3
14:54:26, 0.4112999439239502, 0
14:54:26, 0.4167635440826416, 0
14:54:26, 0.42221808433532715, 0
14:54:26, 0.4277825355529785, 0
14:54:26, 0.43341755867004395, 0
14:54:26, 0.43906402587890625, 0
14:54:26, 0.44459033012390137, 0
14:54:26, 0.450115442276001, 0
14:54:26, 0.45589208602905273, 0
14:54:26, 0.4614286422729492, 0
14:54:26, 0.46739792823791504, 2
14:54:26, 0.4731154441833496, 1
14:54:26, 0.47869062423706055, 0
14:54:26, 0.4841799736022949, 0
14:54:26, 0.4898703098297119, 0
14:54:26, 0.49550795555114746, 0
14:54:26, 0.5010039806365967, 0
14:54:26, 0.5068936347961426, 0
14:54:26, 0.5123605728149414, 0
14:54:26, 0.5178120136260986, 0
14:54:26, 0.5234959125518799, 3
14:54:26, 0.5289313793182373, 0
14:54:26, 0.5346083641052246, 0
14:54:26, 0.5401005744934082, 0
14:54:26, 0.5459954738616943, 0
14:54:26, 0.551621675491333, 0
14:54:26, 0.5574066638946533, 0
14:54:26, 0.5629363059997559, 0
14:54:26, 0.5685994625091553, 0
14:54:26, 0.574101448059082, 0
14:54:26, 0.5795531272888184, 0
14:54:26, 0.5850851535797119, 0
14:54:26, 0.5905005931854248, 0
14:54:26, 0.595970630645752, 0
14:54:26, 0.6016662120819092, 0
14:54:26, 0.6076586246490479, 0
14:54:26, 0.6131331920623779, 0
14:54:26, 0.6185760498046875, 0
14:54:26, 0.6240103244781494, 0
14:54:26, 0.6294450759887695, 0
14:54:26, 0.6348812580108643, 0
14:54:26, 0.6403589248657227, 0
14:54:26, 0.6457846164703369, 0
14:54:26, 0.6512396335601807, 1
14:54:26, 0.6566250324249268, 0
14:54:26, 0.6622674465179443, 0
14:54:26, 0.6676149368286133, 0
14:54:26, 0.6731374263763428, 0
14:54:26, 0.6787173748016357, 4
14:54:26, 0.684283971786499, 0
14:54:26, 0.6897866725921631, 0
14:54:26, 0.6955585479736328, 0
14:54:26, 0.7010836601257324, 6
14:54:26, 0.7066824436187744, 2
14:54:26, 0.7120330333709717, 0
14:54:26, 0.7174737453460693, 0
14:54:26, 0.7234008312225342, 0
14:54:26, 0.7289087772369385, 0
14:54:26, 0.7343652248382568, 0
14:54:26, 0.7399880886077881, 5
14:54:26, 0.7459719181060791, 17
14:54:26, 0.7515089511871338, 0
14:54:26, 0.7569577693939209, 0
14:54:26, 0.7642135620117188, 1
14:54:26, 0.7702221870422363, 12
14:54:26, 0.7758126258850098, 36
14:54:26, 0.7816569805145264, 45
14:54:27, 0.787445068359375, 54
14:54:27, 0.7932629585266113, 49
14:54:27, 0.7988803386688232, 42
14:54:27, 0.8045578002929688, 40
14:54:27, 0.8101043701171875, 12
14:54:27, 0.8155887126922607, 57
14:54:27, 0.8215103149414062, 63
14:54:27, 0.827937126159668, 76
14:54:27, 0.8334155082702637, 88
14:54:27, 0.8392729759216309, 65
14:54:27, 0.844820499420166, 81
14:54:27, 0.8504583835601807, 97
14:54:27, 0.8561384677886963, 95
14:54:27, 0.861849308013916, 96
14:54:27, 0.8674981594085693, 88
14:54:27, 0.8730661869049072, 0
14:54:27, 0.8788697719573975, 0
14:54:27, 0.8846738338470459, 0
14:54:27, 0.8906612396240234, 0
14:54:27, 0.8962883949279785, 0
14:54:27, 0.9019498825073242, 0
14:54:27, 0.9075369834899902, 0
14:54:27, 0.9129288196563721, 0
14:54:27, 0.9185497760772705, 0
14:54:27, 0.9246220588684082, 0
14:54:27, 0.9303491115570068, 0
14:54:27, 0.9359695911407471, 0
14:54:27, 0.9414949417114258, 0
14:54:27, 0.947230339050293, 0
14:54:27, 0.9526951313018799, 0
14:54:27, 0.9586365222930908, 0
14:54:27, 0.9643926620483398, 3
14:54:27, 0.970592737197876, 16
14:54:27, 0.9760763645172119, 51
14:54:27, 0.9816379547119141, 0
14:54:27, 0.9871494770050049, 0
14:54:27, 0.9926357269287109, 0
14:54:27, 0.9980313777923584, 0
14:54:27, 1.003690242767334, 3
14:54:27, 1.009450912475586, 23
14:54:27, 1.015381097793579, 0
14:54:27, 1.0210380554199219, 0
14:54:27, 1.0267901420593262, 0
14:54:27, 1.0324974060058594, 0
14:54:27, 1.0389387607574463, 0
14:54:27, 1.0445001125335693, 0
14:54:27, 1.0501139163970947, 0
14:54:27, 1.05558443069458, 0
14:54:27, 1.061173915863037, 0
14:54:27, 1.066772222518921, 0
14:54:27, 1.0723903179168701, 0
14:54:27, 1.07826566696167, 0
14:54:27, 1.0840566158294678, 0
14:54:27, 1.08958101272583, 0
14:54:27, 1.0952138900756836, 0
14:54:27, 1.100630521774292, 4
14:54:27, 1.106217622756958, 0
14:54:27, 1.1117308139801025, 0
14:54:27, 1.1171212196350098, 0
14:54:27, 1.122732162475586, 0
14:54:27, 1.1281335353851318, 0
14:54:27, 1.1338162422180176, 0
14:54:27, 1.1392958164215088, 0
14:54:27, 1.1447200775146484, 0
14:54:27, 1.1503422260284424, 0
14:54:27, 1.1557066440582275, 0
14:54:27, 1.161107063293457, 0
14:54:27, 1.166736364364624, 0
14:54:27, 1.172438383102417, 0
14:54:27, 1.1781697273254395, 0
14:54:27, 1.1838719844818115, 0
14:54:27, 1.189603328704834, 0
14:54:27, 1.1950981616973877, 0
14:54:27, 1.2005572319030762, 0
14:54:27, 1.2061593532562256, 0
14:54:27, 1.2116742134094238, 0
14:54:27, 1.2171947956085205, 0
14:54:27, 1.2229981422424316, 0
14:54:27, 1.22849440574646, 0
14:54:27, 1.2339990139007568, 0
14:54:27, 1.2393879890441895, 0
14:54:27, 1.2454490661621094, 0
14:54:27, 1.250896692276001, 0
14:54:27, 1.2564399242401123, 0
14:54:27, 1.261932373046875, 0
14:54:27, 1.2673008441925049, 0
14:54:27, 1.2728874683380127, 0
14:54:27, 1.2784295082092285, 0
14:54:27, 1.2838659286499023, 0
14:54:27, 1.2894928455352783, 0
14:54:27, 1.2952232360839844, 0
14:54:27, 1.3006658554077148, 0
14:54:27, 1.3064372539520264, 0
14:54:27, 1.3118290901184082, 0
14:54:27, 1.3172650337219238, 0
14:54:27, 1.3232660293579102, 0
14:54:27, 1.3288884162902832, 0
14:54:27, 1.3349874019622803, 0
14:54:27, 1.3406953811645508, 0
14:54:27, 1.3465728759765625, 0
14:54:27, 1.3521168231964111, 0
14:54:27, 1.3575685024261475, 0
14:54:27, 1.3631212711334229, 0
14:54:27, 1.3686611652374268, 0
14:54:27, 1.374100923538208, 0
14:54:27, 1.379715919494629, 0
14:54:27, 1.3856916427612305, 0
14:54:27, 1.3915314674377441, 0
14:54:27, 1.3972625732421875, 0
14:54:27, 1.4028313159942627, 0
14:54:27, 1.4083325862884521, 0
14:54:27, 1.4138755798339844, 0
14:54:27, 1.419569492340088, 0
14:54:27, 1.4250977039337158, 0
14:54:27, 1.4305315017700195, 0
14:54:27, 1.436039686203003, 0
14:54:27, 1.4417216777801514, 1
14:54:27, 1.4473648071289062, 0
14:54:27, 1.452831506729126, 0
14:54:27, 1.4583384990692139, 0
14:54:27, 1.4638736248016357, 0
14:54:27, 1.4699642658233643, 0
14:54:27, 1.4754364490509033, 5
14:54:27, 1.480872631072998, 0
14:54:27, 1.4868409633636475, 97
14:54:27, 1.4925050735473633, 94
14:54:27, 1.4978599548339844, 0
14:54:27, 1.503293752670288, 7
14:54:27, 1.508854627609253, 0
14:54:27, 1.5142099857330322, 0
14:54:27, 1.5196444988250732, 6
14:54:27, 1.5253145694732666, 19
14:54:27, 1.5307672023773193, 6
14:54:27, 1.5362534523010254, 3
14:54:27, 1.5416085720062256, 0
14:54:27, 1.5473766326904297, 0
14:54:27, 1.5529451370239258, 0
14:54:27, 1.5588386058807373, 2
14:54:27, 1.5643162727355957, 0
14:54:27, 1.5704145431518555, 1
14:54:27, 1.5759050846099854, 0
14:54:27, 1.5814402103424072, 0
14:54:27, 1.5870747566223145, 2
14:54:27, 1.592578649520874, 0
14:54:27, 1.5981557369232178, 0
14:54:27, 1.6038928031921387, 0
14:54:27, 1.6100046634674072, 0
14:54:27, 1.6156017780303955, 1
14:54:27, 1.6211411952972412, 0
14:54:27, 1.6269176006317139, 0
14:54:27, 1.6322758197784424, 0
14:54:27, 1.6378839015960693, 0
14:54:27, 1.6433680057525635, 1
14:54:27, 1.6489102840423584, 1
14:54:27, 1.6545240879058838, 11
14:54:27, 1.6599624156951904, 0
14:54:27, 1.6654775142669678, 0
14:54:27, 1.670952320098877, 0
14:54:27, 1.6764130592346191, 0
14:54:27, 1.6818690299987793, 0
14:54:27, 1.6874666213989258, 0
14:54:27, 1.6929526329040527, 1
14:54:27, 1.698671579360962, 2
14:54:27, 1.7041621208190918, 0
14:54:27, 1.7095556259155273, 1
14:54:27, 1.7154412269592285, 10
14:54:27, 1.720837116241455, 2
14:54:27, 1.7264835834503174, 3
14:54:27, 1.7319080829620361, 10
14:54:27, 1.737640619277954, 9
14:54:27, 1.74318265914917, 13
14:54:27, 1.748558521270752, 17
14:54:27, 1.754265546798706, 2
14:54:27, 1.7596712112426758, 0
14:54:27, 1.7651546001434326, 4
14:54:27, 1.7709434032440186, 8
14:54:27, 1.7763307094573975, 9
14:54:27, 1.7817506790161133, 10
14:54:28, 1.7872188091278076, 15
14:54:28, 1.7926673889160156, 15
14:54:28, 1.7981071472167969, 25
14:54:28, 1.8034980297088623, 31
14:54:28, 1.8090169429779053, 38
14:54:28, 1.814542293548584, 36
14:54:28, 1.8200163841247559, 40
14:54:28, 1.8254358768463135, 75
14:54:28, 1.8311161994934082, 82
14:54:28, 1.836914300918579, 79
14:54:28, 1.8425230979919434, 51
14:54:28, 1.8480162620544434, 58
14:54:28, 1.8536179065704346, 39
14:54:28, 1.8590638637542725, 33
14:54:28, 1.8644683361053467, 63
14:54:28, 1.8700666427612305, 55
14:54:28, 1.8754334449768066, 29
14:54:28, 1.8808128833770752, 31
14:54:28, 1.8864946365356445, 4
14:54:28, 1.891934871673584, 13
14:54:28, 1.8973989486694336, 3
14:54:28, 1.9029014110565186, 0
14:54:28, 1.9091355800628662, 35
14:54:28, 1.9146008491516113, 1
14:54:28, 1.9260120391845703, 0
14:54:28, 1.9316282272338867, 6
14:54:28, 1.937088966369629, 7
14:54:28, 1.9425723552703857, 1
14:54:28, 1.9480037689208984, 0
14:54:28, 1.9535322189331055, 30
14:54:28, 1.9590084552764893, 1
14:54:28, 1.9645845890045166, 1
14:54:28, 1.9701664447784424, 0
14:54:28, 1.975658655166626, 0
14:54:28, 1.9812676906585693, 0
14:54:28, 1.986788272857666, 1
14:54:28, 1.9923744201660156, 0
14:54:28, 1.9978291988372803, 3
14:54:28, 2.0033721923828125, 0
14:54:28, 2.008908271789551, 0
14:54:28, 2.0143635272979736, 0
14:54:28, 2.019793748855591, 0
14:54:28, 2.0252914428710938, 1
14:54:28, 2.030723810195923, 0
14:54:28, 2.0361905097961426, 1
14:54:28, 2.04175066947937, 0
14:54:28, 2.047337293624878, 0
14:54:28, 2.052788019180298, 2
14:54:28, 2.0583407878875732, 0
14:54:28, 2.063826084136963, 0
14:54:28, 2.06923508644104, 0
14:54:28, 2.0750389099121094, 0
14:54:28, 2.080585479736328, 1
14:54:28, 2.0869529247283936, 2
14:54:28, 2.092402935028076, 3
14:54:28, 2.0978739261627197, 15
14:54:28, 2.1033260822296143, 23
14:54:28, 2.1087818145751953, 34
14:54:28, 2.1142494678497314, 37
14:54:28, 2.119661331176758, 48
14:54:28, 2.1251416206359863, 56
14:54:28, 2.1305859088897705, 56
14:54:28, 2.135996103286743, 50
14:54:28, 2.1414551734924316, 45
14:54:28, 2.1468665599823, 40
14:54:28, 2.1524100303649902, 33
14:54:28, 2.1578524112701416, 6
14:54:28, 2.163306474685669, 0
14:54:28, 2.16874361038208, 0
14:54:28, 2.1742119789123535, 0
14:54:28, 2.1795897483825684, 0
14:54:28, 2.184960126876831, 0
14:54:28, 2.1903939247131348, 0
14:54:28, 2.1957859992980957, 0
14:54:28, 2.2012720108032227, 0
14:54:28, 2.2067129611968994, 0
14:54:28, 2.2121286392211914, 0
14:54:28, 2.217532157897949, 0
14:54:28, 2.22302508354187, 0
