start_time,end_time,transfer,bandwidth
0.0,1.0,1.56 MBytes,13.1 Mbits/sec
1.0,2.0,1.93 MBytes,16.2 Mbits/sec
2.0,3.0,1.86 MBytes,15.6 Mbits/sec
3.0,4.0,1.68 MBytes,14.1 Mbits/sec
4.0,5.0,1.86 MBytes,15.6 Mbits/sec
5.0,6.0,1.18 MBytes,9.91 Mbits/sec
6.0,7.0,1.06 MBytes,8.86 Mbits/sec
7.0,8.0,1.93 MBytes,16.2 Mbits/sec
8.0,9.0,2.49 MBytes,20.8 Mbits/sec
9.0,10.0,2.05 MBytes,17.2 Mbits/sec
10.0,11.0,1.99 MBytes,16.7 Mbits/sec
11.0,11.15,509 KBytes,28.7 Mbits/sec
0.0,11.15,20.1 MBytes,15.1 Mbits/sec
0.0,11.18,19.6 MBytes,14.7 Mbits/sec
