traffic_device,config,avg_bandwidth_Mbps,std_bandwidth_Mbps
Traffic1,NON_PCN,3.0104992984097287,0.8963505871761651
Traffic2,NON_PCN,3.0883121401151628,1.148375859389361
Traffic3,NON_PCN,2.961138556985294,0.8274305365185747
Traffic4,NON_PCN,3.0013684640522875,0.8404892100822619
Traffic5,NON_PCN,3.0051419659514926,0.8595655618816344
Traffic6,NON_PCN,3.017260133552015,1.1793060985174182
Traffic1,PCN,3.501409480413493,1.1281213877924658
Traffic1,PCN_MIN,3.0377241399623,1.2448257478725933
Traffic2,PCN_MIN,2.91619678442029,0.8343526703812787
Traffic3,PCN_MIN,2.9592699724517906,1.0067648358255084
Traffic4,PCN_MIN,2.9317164731329695,0.926697948063151
Traffic5,PCN_MIN,2.9301329121129323,0.9282726253763767
Traffic6,PCN_MIN,2.931832916287534,1.0156378904860701
Traffic1,PCN_FIN_MIN,4.69991697080292,1.681551691484109
Traffic2,PCN_FIN_MIN,4.64657196969697,1.6639267718531012
Traffic3,PCN_FIN_MIN,4.640693345323741,1.6401694812452807
Traffic4,PCN_FIN_MIN,4.885892518939394,2.4122744204538376
Traffic5,PCN_FIN_MIN,4.778852002967359,1.8126277627747616
Traffic6,PCN_FIN_MIN,4.624811692969871,1.8314656463237138
Traffic1,PCN_HARMONIC,2.9709598214285715,0.9369587483624016
Traffic2,PCN_HARMONIC,2.9489650045745655,0.9421403987981036
Traffic3,PCN_HARMONIC,2.9164188348416293,1.3417950298853925
Traffic4,PCN_HARMONIC,2.9778405152495377,0.928817184466699
Traffic5,PCN_HARMONIC,2.9988720930232557,0.9448420182708303
Traffic6,PCN_HARMONIC,2.9986359011627908,1.0409733237895078
Traffic1,PCN_FIN_HARMONIC,4.968230288461538,1.6470286465517765
Traffic2,PCN_FIN_HARMONIC,4.878416729607251,1.5485486434813285
Traffic3,PCN_FIN_HARMONIC,4.866622270331325,1.525181109798047
Traffic4,PCN_FIN_HARMONIC,4.975824345146379,1.5747286573839085
Traffic5,PCN_FIN_HARMONIC,5.0389888845553825,1.7468508279107544
Traffic6,PCN_FIN_HARMONIC,4.909600113981763,1.5574133008253632
