traffic,avg_duration,std_dev
Traffic1,16.125,2.0879116360612584
Traffic2,16.325,2.090305001668417
Traffic3,16.375,1.5278661590597522
Traffic4,15.5,2.6551836094703507
Traffic5,15.85,2.25333086784875
Traffic6,16.425,1.8423829677892705
