traffic_device,config,avg_bandwidth_Mbps,std_bandwidth_Mbps
Traffic1,NON_PCN,3.014412852112676,1.2489032067350174
Traffic2,NON_PCN,2.982748520194986,1.1425121681265247
Traffic3,NON_PCN,2.8908733397118413,0.7766328507633139
Traffic4,NON_PCN,3.0000366530373834,1.0195318933413724
Traffic5,NON_PCN,2.9565981813996314,0.7943129825056541
Traffic6,NON_PCN,2.963126874711583,1.2180383615763353
Traffic1,PCN,3.56334541481687,0.8806584072911943
Traffic1,PCN_MIN,2.948793044077135,0.8240697899476362
Traffic2,PCN_MIN,2.9745887853172768,0.8714489212288382
Traffic3,PCN_MIN,3.0226705747531732,1.2997839678674212
Traffic4,PCN_MIN,2.9306735699635365,1.088246503495472
Traffic5,PCN_MIN,2.959184019788311,0.9642750287980428
Traffic6,PCN_MIN,2.9672268689432397,1.1453330413665812
Traffic1,PCN_FIN_MIN,4.652599184782608,1.4375593761608643
Traffic2,PCN_FIN_MIN,4.625261654067675,1.5289376846168419
Traffic3,PCN_FIN_MIN,4.703852717789165,1.7515313502393286
Traffic4,PCN_FIN_MIN,4.758537425980756,2.5420309078064505
Traffic5,PCN_FIN_MIN,4.771154810549777,1.6732419245353976
Traffic6,PCN_FIN_MIN,4.646922225234997,1.3886352711415013
Traffic1,PCN_HARMONIC,2.879671671896011,0.9533126124971641
Traffic2,PCN_HARMONIC,2.9239782287403364,0.9557291709126251
Traffic3,PCN_HARMONIC,2.984069964633581,1.3643594957312795
Traffic4,PCN_HARMONIC,2.9193740775431425,0.9592838605675652
Traffic5,PCN_HARMONIC,2.9567205459770114,0.9509299423164059
Traffic6,PCN_HARMONIC,2.956882046709618,0.94057015541853
Traffic1,PCN_FIN_HARMONIC,5.011955378020265,1.5159115568653185
Traffic2,PCN_FIN_HARMONIC,5.035204176447575,1.624787875732187
Traffic3,PCN_FIN_HARMONIC,5.057999213836478,1.6182450377372803
Traffic4,PCN_FIN_HARMONIC,5.009872955607476,1.5869198688091128
Traffic5,PCN_FIN_HARMONIC,5.008426799610895,1.5439773156911873
Traffic6,PCN_FIN_HARMONIC,4.92441783116386,1.5440114748957237
