traffic_device,avg_bandwidth_Mbps,var_bandwidth_Mbps
Traffic1,4.652599184782608,2.066576959988013
Traffic2,4.625261654067675,2.3376504434415093
Traffic3,4.703852717789165,3.067862070871205
Traffic4,4.758537425980756,6.461921136243287
Traffic5,4.771154810549777,2.799738538022921
Traffic6,4.646922225234997,1.9283079162582308
