ID,Interval,Transfer,Bitrate,Retr,Cwnd
11,17.00-18.00,1.30 MBytes,11.0 Mbits/sec,0,42.4 KBytes
13,17.00-18.00,1.12 MBytes,9.39 Mbits/sec,0,56.6 KBytes
7,18.00-19.00,1.25 MBytes,10.5 Mbits/sec,0,58.0 KBytes
9,18.00-19.00,1.12 MBytes,9.38 Mbits/sec,0,45.2 KBytes
11,18.00-19.00,1.30 MBytes,10.9 Mbits/sec,0,60.8 KBytes
13,18.00-19.00,1.68 MBytes,14.1 Mbits/sec,0,76.4 KBytes
7,19.00-20.00,1.25 MBytes,10.5 Mbits/sec,0,76.4 KBytes
9,19.00-20.00,1.12 MBytes,9.38 Mbits/sec,0,65.0 KBytes
11,19.00-20.00,1.30 MBytes,10.9 Mbits/sec,0,58.0 KBytes
13,19.00-20.00,1.68 MBytes,14.1 Mbits/sec,0,67.9 KBytes
7,20.00-21.00,2.50 MBytes,21.0 Mbits/sec,0,91.9 KBytes
9,20.00-21.00,1.12 MBytes,9.39 Mbits/sec,0,80.6 KBytes
11,20.00-21.00,1.30 MBytes,10.9 Mbits/sec,0,73.5 KBytes
13,20.00-21.00,1.68 MBytes,14.1 Mbits/sec,0,83.4 KBytes
7,21.00-22.00,1.25 MBytes,10.5 Mbits/sec,0,106 KBytes
9,21.00-22.00,2.24 MBytes,18.8 Mbits/sec,0,93.3 KBytes
11,21.00-22.00,1.49 MBytes,12.5 Mbits/sec,0,86.3 KBytes
13,21.00-22.00,1.49 MBytes,12.5 Mbits/sec,0,67.9 KBytes
7,22.00-23.00,2.50 MBytes,21.0 Mbits/sec,0,119 KBytes
9,22.00-23.00,1.12 MBytes,9.38 Mbits/sec,0,106 KBytes
11,22.00-23.00,1.62 MBytes,13.6 Mbits/sec,0,100 KBytes
13,22.00-23.00,1.30 MBytes,10.9 Mbits/sec,0,84.8 KBytes
7,23.00-24.00,1.25 MBytes,10.5 Mbits/sec,0,90.5 KBytes
9,23.00-24.00,2.24 MBytes,18.8 Mbits/sec,0,82.0 KBytes
11,23.00-24.00,1.74 MBytes,14.6 Mbits/sec,0,112 KBytes
13,23.00-24.00,1.37 MBytes,11.5 Mbits/sec,0,93.3 KBytes
7,24.00-25.00,2.50 MBytes,21.0 Mbits/sec,18,62.2 KBytes
9,24.00-25.00,1.12 MBytes,9.38 Mbits/sec,16,43.8 KBytes
11,24.00-25.00,2.24 MBytes,18.8 Mbits/sec,0,70.7 KBytes
13,24.00-25.00,1.86 MBytes,15.6 Mbits/sec,0,59.4 KBytes
7,25.00-26.00,1.25 MBytes,10.5 Mbits/sec,32,11.3 KBytes
9,25.00-26.00,2.24 MBytes,18.8 Mbits/sec,21,12.7 KBytes
11,25.00-26.00,1.99 MBytes,16.7 Mbits/sec,23,5.66 KBytes
13,25.00-26.00,1.80 MBytes,15.1 Mbits/sec,14,7.07 KBytes
7,26.00-27.00,2.50 MBytes,21.0 Mbits/sec,0,33.9 KBytes
9,26.00-27.00,1.12 MBytes,9.38 Mbits/sec,0,25.5 KBytes
11,26.00-27.00,1.99 MBytes,16.7 Mbits/sec,0,39.6 KBytes
13,26.00-27.00,1.49 MBytes,12.5 Mbits/sec,2,32.5 KBytes
7,27.00-28.00,2.50 MBytes,21.0 Mbits/sec,0,63.6 KBytes
9,27.00-28.00,1.12 MBytes,9.38 Mbits/sec,0,52.3 KBytes
11,27.00-28.00,2.98 MBytes,25.0 Mbits/sec,0,77.8 KBytes
13,27.00-28.00,2.55 MBytes,21.4 Mbits/sec,0,70.7 KBytes
7,28.00-29.00,2.50 MBytes,21.0 Mbits/sec,0,90.5 KBytes
9,28.00-29.00,2.24 MBytes,18.8 Mbits/sec,0,79.2 KBytes
11,28.00-29.00,2.73 MBytes,22.9 Mbits/sec,3,73.5 KBytes
13,28.00-29.00,2.55 MBytes,21.4 Mbits/sec,14,69.3 KBytes
7,29.00-30.00,1.25 MBytes,10.5 Mbits/sec,0,105 KBytes
9,29.00-30.00,2.24 MBytes,18.8 Mbits/sec,10,72.1 KBytes
11,29.00-30.00,1.49 MBytes,12.5 Mbits/sec,0,89.1 KBytes
13,29.00-30.00,1.43 MBytes,12.0 Mbits/sec,0,83.4 KBytes
7,30.00-31.00,2.50 MBytes,21.0 Mbits/sec,0,116 KBytes
9,30.00-31.00,1.12 MBytes,9.38 Mbits/sec,0,80.6 KBytes
11,30.00-31.00,1.24 MBytes,10.4 Mbits/sec,0,99.0 KBytes
13,30.00-31.00,1.06 MBytes,8.86 Mbits/sec,0,94.7 KBytes
7,31.00-32.00,1.25 MBytes,10.5 Mbits/sec,0,62.2 KBytes
9,31.00-32.00,1.12 MBytes,9.38 Mbits/sec,0,63.6 KBytes
11,31.00-32.00,1.49 MBytes,12.5 Mbits/sec,0,79.2 KBytes
13,31.00-32.00,1.49 MBytes,12.5 Mbits/sec,8,50.9 KBytes
7,32.00-33.00,1.25 MBytes,10.5 Mbits/sec,42,32.5 KBytes
9,32.00-33.00,1.12 MBytes,9.38 Mbits/sec,22,33.9 KBytes
11,32.00-33.00,2.05 MBytes,17.2 Mbits/sec,44,46.7 KBytes
13,32.00-33.00,1.24 MBytes,10.4 Mbits/sec,31,35.4 KBytes
7,33.00-34.00,1.25 MBytes,10.5 Mbits/sec,0,41.0 KBytes
9,33.00-34.00,1.12 MBytes,9.38 Mbits/sec,0,43.8 KBytes
11,33.00-34.00,2.24 MBytes,18.8 Mbits/sec,0,53.7 KBytes
13,33.00-34.00,1.74 MBytes,14.6 Mbits/sec,0,43.8 KBytes
7,34.00-35.00,2.50 MBytes,21.0 Mbits/sec,0,65.0 KBytes
9,34.00-35.00,2.24 MBytes,18.8 Mbits/sec,0,67.9 KBytes
11,34.00-35.00,2.24 MBytes,18.8 Mbits/sec,0,79.2 KBytes
13,34.00-35.00,1.99 MBytes,16.7 Mbits/sec,0,69.3 KBytes
7,35.00-36.00,1.25 MBytes,10.5 Mbits/sec,1,32.5 KBytes
9,35.00-36.00,1.12 MBytes,9.38 Mbits/sec,0,26.9 KBytes
11,35.00-36.00,2.24 MBytes,18.8 Mbits/sec,4,35.4 KBytes
13,35.00-36.00,1.74 MBytes,14.6 Mbits/sec,5,33.9 KBytes
7,36.00-37.00,2.50 MBytes,21.0 Mbits/sec,0,66.5 KBytes
9,36.00-37.00,2.24 MBytes,18.8 Mbits/sec,0,59.4 KBytes
11,36.00-37.00,1.99 MBytes,16.7 Mbits/sec,0,50.9 KBytes
13,36.00-37.00,1.74 MBytes,14.6 Mbits/sec,0,48.1 KBytes
7,37.00-38.00,1.25 MBytes,10.5 Mbits/sec,0,87.7 KBytes
9,37.00-38.00,2.24 MBytes,18.8 Mbits/sec,0,80.6 KBytes
11,37.00-38.00,1.74 MBytes,14.6 Mbits/sec,0,70.7 KBytes
13,37.00-38.00,1.74 MBytes,14.6 Mbits/sec,0,69.3 KBytes
7,38.00-39.00,2.50 MBytes,21.0 Mbits/sec,0,100 KBytes
9,38.00-39.00,1.12 MBytes,9.38 Mbits/sec,0,94.7 KBytes
11,38.00-39.00,1.24 MBytes,10.4 Mbits/sec,0,83.4 KBytes
13,38.00-39.00,1.24 MBytes,10.4 Mbits/sec,0,82.0 KBytes
