start_time,end_time,transfer,bandwidth
0.0,1.0,242 KBytes,1.98 Mbits/sec
1.0,2.0,314 KBytes,2.57 Mbits/sec
2.0,3.0,445 KBytes,3.65 Mbits/sec
3.0,4.0,382 KBytes,3.13 Mbits/sec
4.0,5.0,1018 KBytes,8.34 Mbits/sec
5.0,6.0,1.24 MBytes,10.4 Mbits/sec
6.0,7.0,1.68 MBytes,14.1 Mbits/sec
7.0,8.0,1.49 MBytes,12.5 Mbits/sec
8.0,9.0,1.74 MBytes,14.6 Mbits/sec
9.0,10.0,1.74 MBytes,14.6 Mbits/sec
10.0,11.0,1.74 MBytes,14.6 Mbits/sec
11.0,12.0,2.24 MBytes,18.8 Mbits/sec
12.0,13.0,2.24 MBytes,18.8 Mbits/sec
13.0,14.0,2.80 MBytes,23.5 Mbits/sec
14.0,14.44,1.12 MBytes,21.5 Mbits/sec
0.0,14.44,20.4 MBytes,11.8 Mbits/sec
0.0,14.51,19.1 MBytes,11.0 Mbits/sec
