iteration,start_time,end_time,duration
1,2025-05-15T14:31:00.316947,2025-05-15T14:31:10.370027,10.05
2,2025-05-15T14:31:15.374252,2025-05-15T14:31:26.250623,10.88
3,2025-05-15T14:31:31.254253,2025-05-15T14:31:46.236487,14.98
4,2025-05-15T14:31:51.238283,2025-05-15T14:32:03.891921,12.65
5,2025-05-15T14:32:08.894125,2025-05-15T14:32:21.416943,12.52
6,2025-05-15T14:32:26.417074,2025-05-15T14:32:40.722067,14.3
7,2025-05-15T14:32:45.722242,2025-05-15T14:32:58.539516,12.82
8,2025-05-15T14:33:03.542271,2025-05-15T14:33:17.447268,13.9
9,2025-05-15T14:33:22.452655,2025-05-15T14:33:34.647403,12.19
10,2025-05-15T14:33:39.650269,2025-05-15T14:33:56.933488,17.28
11,2025-05-15T14:34:01.938630,2025-05-15T14:34:13.076854,11.14
12,2025-05-15T14:34:18.076993,2025-05-15T14:34:27.457584,9.38
13,2025-05-15T14:34:32.458087,2025-05-15T14:34:44.602063,12.14
14,2025-05-15T14:34:49.607223,2025-05-15T14:35:03.443151,13.84
15,2025-05-15T14:35:08.444457,2025-05-15T14:35:19.471421,11.03
16,2025-05-15T14:35:24.471551,2025-05-15T14:35:36.194027,11.72
17,2025-05-15T14:35:41.198309,2025-05-15T14:35:57.453561,16.26
18,2025-05-15T14:36:02.458258,2025-05-15T14:36:21.258633,18.8
19,2025-05-15T14:36:26.258892,2025-05-15T14:36:38.085962,11.83
20,2025-05-15T14:36:43.087469,2025-05-15T14:36:46.146194,3.06
