start_time,end_time,transfer,bandwidth
0.0,1.0,529 KBytes,4.33 Mbits/sec
1.0,2.0,1018 KBytes,8.34 Mbits/sec
2.0,3.0,1.24 MBytes,10.4 Mbits/sec
3.0,4.0,1.55 MBytes,13.0 Mbits/sec
4.0,5.0,1.49 MBytes,12.5 Mbits/sec
5.0,6.0,1.68 MBytes,14.1 Mbits/sec
6.0,7.0,1.55 MBytes,13.0 Mbits/sec
7.0,8.0,1.30 MBytes,10.9 Mbits/sec
8.0,9.0,2.17 MBytes,18.2 Mbits/sec
9.0,10.0,1.86 MBytes,15.6 Mbits/sec
10.0,11.0,1.55 MBytes,13.0 Mbits/sec
11.0,12.0,1.86 MBytes,15.6 Mbits/sec
12.0,13.0,1.86 MBytes,15.6 Mbits/sec
13.0,13.24,636 KBytes,21.3 Mbits/sec
0.0,13.24,20.3 MBytes,12.8 Mbits/sec
0.0,13.31,19.6 MBytes,12.3 Mbits/sec
