Time (in HH:MM:SS) ,Time (s), Threshold
12:58:53, 0.0007205009460449219, 0
12:58:53, 0.006427764892578125, 0
12:58:53, 0.01217508316040039, 0
12:58:53, 0.017631053924560547, 0
12:58:53, 0.023256778717041016, 0
12:58:53, 0.029104232788085938, 0
12:58:53, 0.03502678871154785, 0
12:58:53, 0.04094505310058594, 0
12:58:53, 0.04703640937805176, 0
12:58:53, 0.052786827087402344, 0
12:58:53, 0.05866503715515137, 0
12:58:53, 0.0644538402557373, 0
12:58:53, 0.07012367248535156, 0
12:58:53, 0.07668757438659668, 0
12:58:53, 0.08261513710021973, 0
12:58:53, 0.08868074417114258, 0
12:58:53, 0.0946040153503418, 0
12:58:53, 0.1002659797668457, 0
12:58:53, 0.10573577880859375, 0
12:58:53, 0.11152505874633789, 0
12:58:53, 0.11747527122497559, 0
12:58:53, 0.12371444702148438, 0
12:58:53, 0.13029170036315918, 0
12:58:53, 0.13632726669311523, 0
12:58:53, 0.1422748565673828, 0
12:58:53, 0.14809274673461914, 0
12:58:53, 0.15375089645385742, 0
12:58:53, 0.15964770317077637, 0
12:58:53, 0.16545557975769043, 0
12:58:53, 0.17154169082641602, 0
12:58:53, 0.17708420753479004, 0
12:58:53, 0.18299436569213867, 0
12:58:53, 0.18882155418395996, 0
12:58:53, 0.19469404220581055, 0
12:58:53, 0.2005608081817627, 0
12:58:53, 0.2064955234527588, 0
12:58:53, 0.21564984321594238, 0
12:58:53, 0.22161078453063965, 0
12:58:53, 0.22756600379943848, 0
12:58:53, 0.2334892749786377, 0
12:58:53, 0.23962759971618652, 0
12:58:53, 0.24582910537719727, 0
12:58:53, 0.25182032585144043, 0
12:58:53, 0.2577378749847412, 0
12:58:53, 0.26355910301208496, 0
12:58:53, 0.26941919326782227, 0
12:58:53, 0.27541232109069824, 0
12:58:53, 0.2811424732208252, 0
12:58:53, 0.29212260246276855, 0
12:58:53, 0.29784536361694336, 0
12:58:53, 0.303875207901001, 0
12:58:53, 0.31078124046325684, 0
12:58:53, 0.316788911819458, 0
12:58:53, 0.3227999210357666, 0
12:58:53, 0.3287343978881836, 0
12:58:53, 0.3348522186279297, 0
12:58:53, 0.3411574363708496, 0
12:58:53, 0.3468801975250244, 0
12:58:53, 0.3528754711151123, 0
12:58:53, 0.3587758541107178, 0
12:58:53, 0.36452198028564453, 0
12:58:53, 0.370225191116333, 0
12:58:53, 0.37632107734680176, 0
12:58:53, 0.3827705383300781, 0
12:58:53, 0.38864970207214355, 0
12:58:53, 0.3945939540863037, 0
12:58:53, 0.4003784656524658, 0
12:58:53, 0.40606093406677246, 0
12:58:53, 0.4117903709411621, 0
12:58:53, 0.41788339614868164, 0
12:58:53, 0.42384982109069824, 0
12:58:53, 0.43067288398742676, 0
12:58:53, 0.43668341636657715, 0
12:58:53, 0.4427676200866699, 0
12:58:53, 0.4484703540802002, 0
12:58:53, 0.45421600341796875, 0
12:58:53, 0.45996546745300293, 0
12:58:53, 0.46892666816711426, 0
12:58:53, 0.4778869152069092, 0
12:58:53, 0.48371052742004395, 0
12:58:53, 0.48977112770080566, 0
12:58:53, 0.49585485458374023, 0
12:58:53, 0.5017776489257812, 0
12:58:53, 0.5076122283935547, 0
12:58:53, 0.5137207508087158, 0
12:58:53, 0.519862174987793, 0
12:58:53, 0.5257229804992676, 0
12:58:53, 0.5315403938293457, 0
12:58:53, 0.5373091697692871, 0
12:58:53, 0.5434370040893555, 0
12:58:53, 0.5495398044586182, 0
12:58:53, 0.5552337169647217, 0
12:58:53, 0.5609490871429443, 0
12:58:53, 0.566788911819458, 0
12:58:53, 0.5725367069244385, 0
12:58:53, 0.5785624980926514, 0
12:58:53, 0.5842173099517822, 0
12:58:53, 0.5899665355682373, 0
12:58:53, 0.5959131717681885, 0
12:58:53, 0.6017920970916748, 0
12:58:53, 0.6075847148895264, 0
12:58:53, 0.6148121356964111, 0
12:58:53, 0.6204822063446045, 0
12:58:53, 0.6264157295227051, 0
12:58:53, 0.6322546005249023, 0
12:58:53, 0.6380469799041748, 0
12:58:53, 0.6438205242156982, 0
12:58:53, 0.6496353149414062, 0
12:58:53, 0.6553966999053955, 0
12:58:53, 0.6609327793121338, 0
12:58:53, 0.6666271686553955, 0
12:58:53, 0.6722509860992432, 0
12:58:53, 0.6779022216796875, 0
12:58:53, 0.6837701797485352, 0
12:58:53, 0.6898097991943359, 0
12:58:53, 0.6956746578216553, 0
12:58:53, 0.7015945911407471, 0
12:58:53, 0.7112569808959961, 0
12:58:53, 0.7174816131591797, 0
12:58:53, 0.7266266345977783, 0
12:58:53, 0.7320034503936768, 0
12:58:54, 0.7387199401855469, 0
12:58:54, 0.7445535659790039, 0
12:58:54, 0.7551298141479492, 0
12:58:54, 0.7645564079284668, 0
12:58:54, 0.7719316482543945, 0
12:58:54, 0.7777712345123291, 0
12:58:54, 0.7838060855865479, 0
12:58:54, 0.789494514465332, 0
12:58:54, 0.7952766418457031, 0
12:58:54, 0.8008689880371094, 0
12:58:54, 0.8063664436340332, 0
12:58:54, 0.8117866516113281, 0
12:58:54, 0.8173449039459229, 0
12:58:54, 0.8228793144226074, 0
12:58:54, 0.8283665180206299, 0
12:58:54, 0.8343863487243652, 0
12:58:54, 0.8398604393005371, 0
12:58:54, 0.8454632759094238, 0
12:58:54, 0.8510427474975586, 0
12:58:54, 0.856971263885498, 0
12:58:54, 0.8626739978790283, 0
12:58:54, 0.868109941482544, 0
12:58:54, 0.8736228942871094, 0
12:58:54, 0.8791286945343018, 0
12:58:54, 0.8845124244689941, 0
