iteration,start_time,end_time,duration
1,2025-05-01T13:37:51.600111,2025-05-01T13:38:20.279274,28.68
2,2025-05-01T13:38:23.283406,2025-05-01T13:38:49.774278,26.49
3,2025-05-01T13:38:52.774693,2025-05-01T13:39:25.210326,32.44
4,2025-05-01T13:39:28.211698,2025-05-01T13:39:56.749783,28.54
5,2025-05-01T13:39:59.750243,2025-05-01T13:40:25.485956,25.74
6,2025-05-01T13:40:28.486304,2025-05-01T13:40:56.135050,27.65
7,2025-05-01T13:40:59.137295,2025-05-01T13:41:23.693064,24.56
8,2025-05-01T13:41:26.694256,2025-05-01T13:41:56.055965,29.36
9,2025-05-01T13:41:59.058256,2025-05-01T13:42:23.613984,24.56
10,2025-05-01T13:42:26.614251,2025-05-01T13:42:55.309779,28.7
11,2025-05-01T13:42:58.310254,2025-05-01T13:43:25.873965,27.56
12,2025-05-01T13:43:28.877142,2025-05-01T13:43:58.039530,29.16
13,2025-05-01T13:44:01.042250,2025-05-01T13:44:27.302459,26.26
14,2025-05-01T13:44:30.302615,2025-05-01T13:45:00.758269,30.46
15,2025-05-01T13:45:03.761678,2025-05-01T13:45:29.251263,25.49
16,2025-05-01T13:45:32.252301,2025-05-01T13:45:57.013932,24.76
17,2025-05-01T13:46:00.014282,2025-05-01T13:46:26.270072,26.26
18,2025-05-01T13:46:29.270244,2025-05-01T13:46:55.021700,25.75
19,2025-05-01T13:46:58.022748,2025-05-01T13:47:24.605900,26.58
20,2025-05-01T13:47:27.606259,2025-05-01T13:47:50.326297,22.72
