iteration,start_time,end_time,duration
1,2025-05-02T10:35:25.862142,2025-05-02T10:36:20.537722,54.68
2,2025-05-02T10:36:25.542237,2025-05-02T10:37:23.972904,58.43
3,2025-05-02T10:37:28.974237,2025-05-02T10:38:13.695625,44.72
4,2025-05-02T10:38:18.698317,2025-05-02T10:39:10.090685,51.39
5,2025-05-02T10:39:15.094299,2025-05-02T10:40:06.647255,51.55
6,2025-05-02T10:40:11.650297,2025-05-02T10:41:08.213939,56.56
7,2025-05-02T10:41:13.219186,2025-05-02T10:42:08.348121,55.13
8,2025-05-02T10:42:13.349889,2025-05-02T10:43:08.839955,55.49
9,2025-05-02T10:43:13.842256,2025-05-02T10:44:08.179975,54.34
10,2025-05-02T10:44:13.180958,2025-05-02T10:45:13.674982,60.49
11,2025-05-02T10:45:18.675257,2025-05-02T10:46:12.864589,54.19
12,2025-05-02T10:46:17.866276,2025-05-02T10:47:06.487267,48.62
13,2025-05-02T10:47:11.490265,2025-05-02T10:48:03.194974,51.7
14,2025-05-02T10:48:08.196927,2025-05-02T10:49:02.677494,54.48
15,2025-05-02T10:49:07.678598,2025-05-02T10:50:03.398048,55.72
16,2025-05-02T10:50:08.402245,2025-05-02T10:50:59.572498,51.17
17,2025-05-02T10:51:04.574279,2025-05-02T10:51:59.499529,54.93
18,2025-05-02T10:52:04.502258,2025-05-02T10:52:58.884915,54.38
19,2025-05-02T10:53:03.886257,2025-05-02T10:53:57.855079,53.97
20,2025-05-02T10:54:02.858250,2025-05-02T10:54:58.830633,55.97
