start_time,end_time,transfer,bandwidth
0.0,1.0,1.47 MBytes,12.3 Mbits/sec
1.0,2.0,2.11 MBytes,17.7 Mbits/sec
2.0,3.0,2.17 MBytes,18.2 Mbits/sec
3.0,4.0,2.17 MBytes,18.2 Mbits/sec
4.0,5.0,1.80 MBytes,15.1 Mbits/sec
5.0,6.0,2.80 MBytes,23.5 Mbits/sec
6.0,7.0,2.42 MBytes,20.3 Mbits/sec
7.0,8.0,2.05 MBytes,17.2 Mbits/sec
8.0,9.0,2.05 MBytes,17.2 Mbits/sec
9.0,9.47,1.12 MBytes,19.9 Mbits/sec
0.0,9.47,20.2 MBytes,17.9 Mbits/sec
0.0,9.49,19.7 MBytes,17.5 Mbits/sec
