ID,Interval,Transfer,Bitrate,Retr,Cwnd
11,16.00-17.00,2.05 MBytes,17.2 Mbits/sec,0,90.5 KBytes
13,16.00-17.00,2.49 MBytes,20.9 Mbits/sec,0,102 KBytes
7,17.00-18.00,1.99 MBytes,16.7 Mbits/sec,0,116 KBytes
9,17.00-18.00,1.49 MBytes,12.5 Mbits/sec,0,86.3 KBytes
11,17.00-18.00,1.99 MBytes,16.7 Mbits/sec,0,105 KBytes
13,17.00-18.00,1.99 MBytes,16.7 Mbits/sec,0,116 KBytes
7,18.00-19.00,1.74 MBytes,14.6 Mbits/sec,0,127 KBytes
9,18.00-19.00,1.24 MBytes,10.4 Mbits/sec,0,97.6 KBytes
11,18.00-19.00,1.06 MBytes,8.86 Mbits/sec,1,90.5 KBytes
13,18.00-19.00,1.49 MBytes,12.5 Mbits/sec,9,96.2 KBytes
7,19.00-20.00,2.05 MBytes,17.2 Mbits/sec,0,100 KBytes
9,19.00-20.00,1.49 MBytes,12.5 Mbits/sec,0,80.6 KBytes
11,19.00-20.00,1.30 MBytes,10.9 Mbits/sec,7,53.7 KBytes
13,19.00-20.00,1.49 MBytes,12.5 Mbits/sec,0,80.6 KBytes
7,20.00-21.00,2.49 MBytes,20.9 Mbits/sec,3,89.1 KBytes
9,20.00-21.00,2.49 MBytes,20.9 Mbits/sec,0,99.0 KBytes
11,20.00-21.00,1.24 MBytes,10.4 Mbits/sec,6,56.6 KBytes
13,20.00-21.00,1.74 MBytes,14.6 Mbits/sec,11,52.3 KBytes
7,21.00-22.00,1.86 MBytes,15.6 Mbits/sec,18,56.6 KBytes
9,21.00-22.00,3.23 MBytes,27.1 Mbits/sec,0,122 KBytes
11,21.00-22.00,1.99 MBytes,16.7 Mbits/sec,0,79.2 KBytes
13,21.00-22.00,1.24 MBytes,10.4 Mbits/sec,4,55.1 KBytes
7,22.00-23.00,1.86 MBytes,15.6 Mbits/sec,36,53.7 KBytes
9,22.00-23.00,2.86 MBytes,24.0 Mbits/sec,16,74.9 KBytes
11,22.00-23.00,2.49 MBytes,20.9 Mbits/sec,38,70.7 KBytes
13,22.00-23.00,1.74 MBytes,14.6 Mbits/sec,18,36.8 KBytes
7,23.00-24.00,2.17 MBytes,18.2 Mbits/sec,4,58.0 KBytes
9,23.00-24.00,2.24 MBytes,18.8 Mbits/sec,15,55.1 KBytes
11,23.00-24.00,2.49 MBytes,20.9 Mbits/sec,12,69.3 KBytes
13,23.00-24.00,1018 KBytes,8.34 Mbits/sec,29,29.7 KBytes
7,24.00-25.00,1.86 MBytes,15.6 Mbits/sec,0,79.2 KBytes
9,24.00-25.00,1.49 MBytes,12.5 Mbits/sec,3,55.1 KBytes
11,24.00-25.00,1.80 MBytes,15.1 Mbits/sec,8,66.5 KBytes
13,24.00-25.00,1018 KBytes,8.34 Mbits/sec,0,50.9 KBytes
7,25.00-26.00,1.55 MBytes,13.0 Mbits/sec,3,66.5 KBytes
9,25.00-26.00,1.24 MBytes,10.4 Mbits/sec,0,67.9 KBytes
11,25.00-26.00,1.24 MBytes,10.4 Mbits/sec,0,80.6 KBytes
13,25.00-26.00,1.24 MBytes,10.4 Mbits/sec,0,65.0 KBytes
7,26.00-27.00,1.55 MBytes,13.0 Mbits/sec,0,82.0 KBytes
9,26.00-27.00,1.49 MBytes,12.5 Mbits/sec,1,59.4 KBytes
11,26.00-27.00,1.74 MBytes,14.6 Mbits/sec,6,67.9 KBytes
13,26.00-27.00,1.49 MBytes,12.5 Mbits/sec,0,82.0 KBytes
7,27.00-28.00,2.17 MBytes,18.2 Mbits/sec,0,100 KBytes
9,27.00-28.00,1.49 MBytes,12.5 Mbits/sec,3,53.7 KBytes
11,27.00-28.00,1.49 MBytes,12.5 Mbits/sec,1,63.6 KBytes
13,27.00-28.00,2.24 MBytes,18.8 Mbits/sec,0,102 KBytes
7,28.00-29.00,2.80 MBytes,23.5 Mbits/sec,0,119 KBytes
9,28.00-29.00,1.49 MBytes,12.5 Mbits/sec,0,72.1 KBytes
11,28.00-29.00,1.55 MBytes,13.0 Mbits/sec,7,58.0 KBytes
13,28.00-29.00,1.99 MBytes,16.7 Mbits/sec,2,89.1 KBytes
7,29.00-30.00,2.55 MBytes,21.4 Mbits/sec,35,5.66 KBytes
9,29.00-30.00,1.74 MBytes,14.6 Mbits/sec,0,5.66 KBytes
11,29.00-30.00,1.24 MBytes,10.4 Mbits/sec,38,9.90 KBytes
13,29.00-30.00,1.49 MBytes,12.5 Mbits/sec,30,7.07 KBytes
7,30.00-31.00,1.55 MBytes,13.0 Mbits/sec,0,50.9 KBytes
9,30.00-31.00,1.74 MBytes,14.6 Mbits/sec,0,52.3 KBytes
11,30.00-31.00,1.99 MBytes,16.7 Mbits/sec,0,56.6 KBytes
13,30.00-31.00,1.99 MBytes,16.7 Mbits/sec,0,53.7 KBytes
7,31.00-32.00,1.86 MBytes,15.6 Mbits/sec,24,39.6 KBytes
9,31.00-32.00,2.24 MBytes,18.8 Mbits/sec,9,50.9 KBytes
11,31.00-32.00,2.24 MBytes,18.8 Mbits/sec,27,53.7 KBytes
