device,avg_bw_before,avg_bw_during,avg_bw_after
flow_1,5.285277777777777,2.6282614114348024,4.364742888402627
flow_2,4.8244444444444445,2.591457262961233,4.369967177242889
flow_3,4.933020833333334,2.585127038895859,4.374253282275712
flow_4,4.63076388888889,2.567025434243176,4.357913019693655
ALL_DEVICES,4.918376736111111,2.5929677868837677,4.36671909190372
