device,config,avg_bw_mbps,std_bw_mbps
flow_1,NON_PCN,3.2939615384615384,0.9519635974281803
flow_2,NON_PCN,3.2834635366557623,1.0468184162876057
flow_3,NON_PCN,3.4439249999999992,1.767838129486777
flow_4,NON_PCN,3.34748649691358,1.1964360938187875
flow_1,NON_PCN,3.2774115384615388,0.9539764510183849
flow_2,NON_PCN,3.2819784449576597,1.1033030279636802
flow_3,NON_PCN,3.2976457010963647,1.0529718322133692
flow_4,NON_PCN,3.261071153846154,0.9188374064830594
flow_1,PCN,4.040357692307692,1.0024986221640548
flow_2,PCN,4.01445576923077,1.0756677943551485
flow_3,PCN,4.133890384615385,1.019669554082561
flow_4,PCN,4.101932692307693,0.976831581070845
flow_1,PCN,3.903625,0.9984502384224109
flow_2,PCN,3.968652594200039,1.3698599255644595
flow_3,PCN,4.075882692307693,1.035145284158619
flow_4,PCN,4.019451923076923,1.0090523293951807
flow_1,PCN_MIN,3.268540623796688,1.111508213141016
flow_2,PCN_MIN,3.2770340450086555,1.0685900982290122
flow_3,PCN_MIN,3.2601625386996904,1.2191643130390515
flow_4,PCN_MIN,3.2953360930415925,1.1715529943965624
flow_1,PCN_MIN,3.239278290993072,1.1451613567631922
flow_2,PCN_MIN,3.2382903846153845,0.9718216935931785
flow_3,PCN_MIN,3.1966685901134833,1.0004146187946914
flow_4,PCN_MIN,3.2097115384615384,1.0146853403232274
flow_1,PCN_FIN_MIN,3.330887904468413,1.343840024164734
flow_2,PCN_FIN_MIN,3.3185252564350685,1.3324109646071618
flow_3,PCN_FIN_MIN,3.318893003313194,1.4208803801923635
flow_4,PCN_FIN_MIN,3.247308432807085,1.252701937102816
flow_1,PCN_FIN_MIN,3.298491587700638,1.3722382848263197
flow_2,PCN_FIN_MIN,3.2431057692307697,1.2746869255011755
flow_3,PCN_FIN_MIN,3.2504355367122755,1.330042071827934
flow_4,PCN_FIN_MIN,3.2612254713351287,1.2776890551357243
flow_1,PCN_HARMONIC,3.0865794728434497,1.1444556327623117
flow_2,PCN_HARMONIC,4.431476660682225,3.0052147034327126
flow_3,PCN_HARMONIC,3.3526865671641795,1.2054640049741756
flow_4,PCN_HARMONIC,3.10903905645785,1.1056978846350158
flow_1,PCN_HARMONIC,3.2327255167085185,1.187980224703307
flow_2,PCN_HARMONIC,3.2213307618129217,1.158338834659832
flow_3,PCN_HARMONIC,8.339911067193675,1.8410001127147866
flow_4,PCN_HARMONIC,3.2215124589530615,1.2223873367837637
flow_1,PCN_FIN_HARMONIC,3.264003118300526,1.5281302513479669
flow_2,PCN_FIN_HARMONIC,3.2605828814872186,1.44236868035032
flow_3,PCN_FIN_HARMONIC,3.297513576415826,1.4743412832718443
flow_4,PCN_FIN_HARMONIC,3.227458349476947,1.4612597101927274
flow_1,PCN_FIN_HARMONIC,3.2881357904946653,1.525445271207843
flow_2,PCN_FIN_HARMONIC,3.2579686289697913,1.449970070400657
flow_3,PCN_FIN_HARMONIC,3.22639185257032,1.4689040953084478
flow_4,PCN_FIN_HARMONIC,3.241504854368932,1.4896290303410065
