flow,avg_bw_before,avg_bw_during,avg_bw_after
flow1,5.41695652173913,3.1834735071488645,4.407045454545455
flow2,5.611304347826087,3.115817875210792,4.549204545454546
flow3,5.195217391304347,3.188124474348191,4.394886363636364
flow4,5.448695652173913,3.0820826306913993,4.282954545454546
flow5,4.85782608695652,3.134390243902438,4.525909090909091
flow6,4.344347826086957,3.165449957947855,4.324090909090909
flow7,4.899130434782609,3.240100925147182,4.513863636363636
flow8,4.9143478260869555,3.091557239057239,4.638181818181818
flow9,5.81695652173913,3.077786259541985,4.407727272727272
flow10,6.0586956521739115,3.1868421052631577,4.21784090909091
flow11,5.561739130434783,3.1088539898132423,4.3835227272727275
flow12,5.5886956521739135,3.1452144659377628,4.425227272727273
flow13,4.901304347826087,3.0743061396131197,4.4073863636363635
flow14,4.942608695652174,3.072045646661031,4.390454545454546
flow15,5.063913043478261,3.1220949957591175,4.289545454545455
flow16,6.318636363636363,3.4723148148148146,4.172758620689655
