ID,Interval,Transfer,Bitrate,Retr,Cwnd
9,407.00-408.00,636 KBytes,5.21 Mbits/sec,12,18.4 KBytes
13,407.00-408.00,445 KBytes,3.65 Mbits/sec,2,9.90 KBytes
11,408.00-409.00,382 KBytes,3.13 Mbits/sec,0,19.8 KBytes
13,408.00-409.00,445 KBytes,3.65 Mbits/sec,0,18.4 KBytes
7,409.00-410.00,764 KBytes,6.26 Mbits/sec,0,17.0 KBytes
9,409.00-410.00,636 KBytes,5.21 Mbits/sec,0,26.9 KBytes
11,409.00-410.00,382 KBytes,3.13 Mbits/sec,0,28.3 KBytes
9,410.00-411.00,636 KBytes,5.21 Mbits/sec,0,28.3 KBytes
11,410.00-411.00,382 KBytes,3.13 Mbits/sec,7,14.1 KBytes
13,410.00-411.00,445 KBytes,3.65 Mbits/sec,0,22.6 KBytes
7,412.00-413.00,764 KBytes,6.26 Mbits/sec,2,5.66 KBytes
9,412.00-413.00,636 KBytes,5.21 Mbits/sec,5,4.24 KBytes
11,412.00-413.00,382 KBytes,3.13 Mbits/sec,4,5.66 KBytes
13,412.00-413.00,445 KBytes,3.65 Mbits/sec,6,7.07 KBytes
11,413.00-414.00,382 KBytes,3.13 Mbits/sec,0,17.0 KBytes
13,413.00-414.00,445 KBytes,3.65 Mbits/sec,1,21.2 KBytes
9,414.00-415.00,636 KBytes,5.21 Mbits/sec,0,25.5 KBytes
11,415.00-416.00,382 KBytes,3.13 Mbits/sec,0,22.6 KBytes
13,415.00-416.00,445 KBytes,3.65 Mbits/sec,0,25.5 KBytes
7,416.00-417.00,764 KBytes,6.26 Mbits/sec,0,24.0 KBytes
9,416.00-417.00,636 KBytes,5.21 Mbits/sec,0,29.7 KBytes
13,416.00-417.00,445 KBytes,3.65 Mbits/sec,0,22.6 KBytes
11,417.00-418.00,382 KBytes,3.13 Mbits/sec,2,11.3 KBytes
9,418.00-419.00,636 KBytes,5.21 Mbits/sec,4,9.90 KBytes
11,418.00-419.00,382 KBytes,3.13 Mbits/sec,8,4.24 KBytes
13,418.00-419.00,445 KBytes,3.65 Mbits/sec,7,8.48 KBytes
7,419.00-420.00,764 KBytes,6.25 Mbits/sec,0,7.07 KBytes
13,419.00-420.00,445 KBytes,3.65 Mbits/sec,0,7.07 KBytes
9,420.00-421.00,636 KBytes,5.21 Mbits/sec,0,18.4 KBytes
11,420.00-421.00,382 KBytes,3.13 Mbits/sec,0,15.6 KBytes
7,421.00-422.00,764 KBytes,6.26 Mbits/sec,5,19.8 KBytes
9,421.00-422.00,636 KBytes,5.21 Mbits/sec,5,17.0 KBytes
11,421.00-422.00,382 KBytes,3.13 Mbits/sec,0,22.6 KBytes
13,421.00-422.00,445 KBytes,3.65 Mbits/sec,7,14.1 KBytes
11,422.00-423.00,382 KBytes,3.13 Mbits/sec,5,14.1 KBytes
13,422.00-423.00,445 KBytes,3.65 Mbits/sec,6,15.6 KBytes
7,423.00-424.00,764 KBytes,6.25 Mbits/sec,3,9.90 KBytes
11,423.00-424.00,382 KBytes,3.13 Mbits/sec,1,12.7 KBytes
9,424.00-425.00,636 KBytes,5.22 Mbits/sec,0,32.5 KBytes
11,424.00-425.00,382 KBytes,3.13 Mbits/sec,0,24.0 KBytes
13,424.00-425.00,445 KBytes,3.65 Mbits/sec,0,26.9 KBytes
7,425.00-426.00,764 KBytes,6.25 Mbits/sec,1,8.48 KBytes
9,425.00-426.00,636 KBytes,5.21 Mbits/sec,0,22.6 KBytes
11,425.00-426.00,382 KBytes,3.13 Mbits/sec,3,8.48 KBytes
13,425.00-426.00,445 KBytes,3.65 Mbits/sec,4,8.48 KBytes
9,426.00-427.00,636 KBytes,5.21 Mbits/sec,1,18.4 KBytes
11,426.00-427.00,382 KBytes,3.13 Mbits/sec,0,17.0 KBytes
13,426.00-427.00,445 KBytes,3.65 Mbits/sec,4,21.2 KBytes
11,427.00-428.00,382 KBytes,3.13 Mbits/sec,1,8.48 KBytes
13,427.00-428.00,445 KBytes,3.65 Mbits/sec,4,17.0 KBytes
7,428.00-429.00,764 KBytes,6.25 Mbits/sec,5,15.6 KBytes
9,429.00-430.00,636 KBytes,5.21 Mbits/sec,9,11.3 KBytes
11,429.00-430.00,382 KBytes,3.13 Mbits/sec,4,17.0 KBytes
13,429.00-430.00,445 KBytes,3.65 Mbits/sec,1,12.7 KBytes
11,430.00-431.00,382 KBytes,3.13 Mbits/sec,0,18.4 KBytes
7,431.00-432.00,764 KBytes,6.26 Mbits/sec,0,24.0 KBytes
9,431.00-432.00,636 KBytes,5.21 Mbits/sec,0,29.7 KBytes
11,431.00-432.00,382 KBytes,3.13 Mbits/sec,0,25.5 KBytes
13,431.00-432.00,445 KBytes,3.65 Mbits/sec,0,18.4 KBytes
11,432.00-433.00,382 KBytes,3.13 Mbits/sec,0,26.9 KBytes
7,433.00-434.00,764 KBytes,6.26 Mbits/sec,0,22.6 KBytes
9,433.00-434.00,636 KBytes,5.21 Mbits/sec,0,31.1 KBytes
11,433.00-434.00,382 KBytes,3.13 Mbits/sec,0,29.7 KBytes
13,433.00-434.00,445 KBytes,3.65 Mbits/sec,0,21.2 KBytes
9,434.00-435.00,636 KBytes,5.21 Mbits/sec,5,9.90 KBytes
11,434.00-435.00,382 KBytes,3.13 Mbits/sec,6,8.48 KBytes
13,434.00-435.00,445 KBytes,3.65 Mbits/sec,0,18.4 KBytes
7,435.00-436.00,764 KBytes,6.26 Mbits/sec,0,21.2 KBytes
13,435.00-436.00,445 KBytes,3.65 Mbits/sec,0,21.2 KBytes
9,436.00-437.00,636 KBytes,5.21 Mbits/sec,0,9.90 KBytes
11,436.00-437.00,382 KBytes,3.13 Mbits/sec,0,24.0 KBytes
13,436.00-437.00,445 KBytes,3.65 Mbits/sec,1,17.0 KBytes
7,437.00-438.00,764 KBytes,6.26 Mbits/sec,4,5.66 KBytes
11,437.00-438.00,764 KBytes,6.26 Mbits/sec,3,7.07 KBytes
7,438.00-439.00,764 KBytes,6.25 Mbits/sec,0,22.6 KBytes
9,438.00-439.00,636 KBytes,5.21 Mbits/sec,0,19.8 KBytes
13,438.00-439.00,445 KBytes,3.65 Mbits/sec,0,24.0 KBytes
9,439.00-440.00,636 KBytes,5.21 Mbits/sec,0,39.6 KBytes
11,439.00-440.00,382 KBytes,3.13 Mbits/sec,1,22.6 KBytes
13,439.00-440.00,891 KBytes,7.30 Mbits/sec,0,32.5 KBytes
7,440.00-441.00,764 KBytes,6.26 Mbits/sec,4,26.9 KBytes
9,440.00-441.00,636 KBytes,5.21 Mbits/sec,18,33.9 KBytes
11,440.00-441.00,764 KBytes,6.26 Mbits/sec,11,28.3 KBytes
13,440.00-441.00,445 KBytes,3.65 Mbits/sec,20,9.90 KBytes
9,441.00-442.00,636 KBytes,5.21 Mbits/sec,1,26.9 KBytes
11,441.00-442.00,382 KBytes,3.13 Mbits/sec,7,35.4 KBytes
13,441.00-442.00,445 KBytes,3.65 Mbits/sec,0,33.9 KBytes
7,442.00-443.00,764 KBytes,6.26 Mbits/sec,21,17.0 KBytes
9,442.00-443.00,636 KBytes,5.21 Mbits/sec,11,17.0 KBytes
11,442.00-443.00,382 KBytes,3.13 Mbits/sec,6,2.83 KBytes
13,442.00-443.00,445 KBytes,3.65 Mbits/sec,11,18.4 KBytes
7,443.00-444.00,764 KBytes,6.26 Mbits/sec,0,41.0 KBytes
9,443.00-444.00,636 KBytes,5.21 Mbits/sec,2,26.9 KBytes
11,443.00-444.00,764 KBytes,6.25 Mbits/sec,8,33.9 KBytes
13,443.00-444.00,445 KBytes,3.65 Mbits/sec,6,24.0 KBytes
7,444.00-445.00,764 KBytes,6.25 Mbits/sec,17,36.8 KBytes
13,444.00-445.00,445 KBytes,3.65 Mbits/sec,11,31.1 KBytes
9,445.00-446.00,636 KBytes,5.21 Mbits/sec,0,43.8 KBytes
11,445.00-446.00,382 KBytes,3.13 Mbits/sec,0,35.4 KBytes
13,445.00-446.00,445 KBytes,3.65 Mbits/sec,0,45.2 KBytes
7,446.00-447.00,764 KBytes,6.26 Mbits/sec,6,29.7 KBytes
9,446.00-447.00,636 KBytes,5.21 Mbits/sec,5,28.3 KBytes
11,446.00-447.00,382 KBytes,3.13 Mbits/sec,8,26.9 KBytes
13,446.00-447.00,445 KBytes,3.65 Mbits/sec,12,25.5 KBytes
7,447.00-448.00,764 KBytes,6.26 Mbits/sec,8,38.2 KBytes
9,447.00-448.00,636 KBytes,5.21 Mbits/sec,7,26.9 KBytes
11,447.00-448.00,764 KBytes,6.26 Mbits/sec,14,26.9 KBytes
13,447.00-448.00,445 KBytes,3.65 Mbits/sec,5,35.4 KBytes
7,448.00-449.00,764 KBytes,6.26 Mbits/sec,0,45.2 KBytes
11,448.00-449.00,382 KBytes,3.13 Mbits/sec,0,38.2 KBytes
13,448.00-449.00,891 KBytes,7.30 Mbits/sec,0,45.2 KBytes
9,449.00-450.00,636 KBytes,5.21 Mbits/sec,11,14.1 KBytes
11,449.00-450.00,382 KBytes,3.13 Mbits/sec,22,11.3 KBytes
13,449.00-450.00,445 KBytes,3.65 Mbits/sec,24,11.3 KBytes
7,450.00-451.00,764 KBytes,6.26 Mbits/sec,0,41.0 KBytes
9,450.00-451.00,636 KBytes,5.21 Mbits/sec,8,14.1 KBytes
11,450.00-451.00,382 KBytes,3.13 Mbits/sec,11,21.2 KBytes
13,450.00-451.00,445 KBytes,3.65 Mbits/sec,1,22.6 KBytes
7,451.00-452.00,764 KBytes,6.25 Mbits/sec,0,60.8 KBytes
11,451.00-452.00,382 KBytes,3.13 Mbits/sec,4,21.2 KBytes
13,451.00-452.00,445 KBytes,3.65 Mbits/sec,4,22.6 KBytes
7,452.00-453.00,1.49 MBytes,12.5 Mbits/sec,0,72.1 KBytes
9,452.00-453.00,636 KBytes,5.21 Mbits/sec,0,33.9 KBytes
11,452.00-453.00,382 KBytes,3.13 Mbits/sec,2,21.2 KBytes
13,452.00-453.00,445 KBytes,3.65 Mbits/sec,0,35.4 KBytes
7,453.00-454.00,764 KBytes,6.26 Mbits/sec,0,60.8 KBytes
9,453.00-454.00,636 KBytes,5.21 Mbits/sec,0,41.0 KBytes
11,453.00-454.00,382 KBytes,3.13 Mbits/sec,0,32.5 KBytes
13,453.00-454.00,445 KBytes,3.65 Mbits/sec,0,38.2 KBytes
7,454.00-455.00,764 KBytes,6.26 Mbits/sec,5,33.9 KBytes
9,454.00-455.00,636 KBytes,5.21 Mbits/sec,6,18.4 KBytes
11,454.00-455.00,382 KBytes,3.13 Mbits/sec,9,29.7 KBytes
13,454.00-455.00,445 KBytes,3.65 Mbits/sec,5,19.8 KBytes
7,455.00-456.00,764 KBytes,6.25 Mbits/sec,5,31.1 KBytes
11,455.00-456.00,382 KBytes,3.13 Mbits/sec,1,21.2 KBytes
13,455.00-456.00,445 KBytes,3.65 Mbits/sec,4,21.2 KBytes
9,456.00-457.00,636 KBytes,5.21 Mbits/sec,8,17.0 KBytes
11,456.00-457.00,764 KBytes,6.26 Mbits/sec,14,21.2 KBytes
13,456.00-457.00,445 KBytes,3.65 Mbits/sec,11,18.4 KBytes
7,457.00-458.00,764 KBytes,6.26 Mbits/sec,0,28.3 KBytes
9,457.00-458.00,636 KBytes,5.21 Mbits/sec,5,15.6 KBytes
11,457.00-458.00,382 KBytes,3.13 Mbits/sec,7,15.6 KBytes
13,457.00-458.00,445 KBytes,3.65 Mbits/sec,17,15.6 KBytes
7,458.00-459.00,764 KBytes,6.25 Mbits/sec,0,53.7 KBytes
11,458.00-459.00,382 KBytes,3.13 Mbits/sec,0,39.6 KBytes
13,458.00-459.00,445 KBytes,3.65 Mbits/sec,0,39.6 KBytes
7,459.00-460.00,764 KBytes,6.26 Mbits/sec,1,28.3 KBytes
9,459.00-460.00,636 KBytes,5.21 Mbits/sec,14,11.3 KBytes
11,459.00-460.00,764 KBytes,6.26 Mbits/sec,15,24.0 KBytes
13,459.00-460.00,445 KBytes,3.65 Mbits/sec,6,11.3 KBytes
7,460.00-461.00,764 KBytes,6.26 Mbits/sec,11,8.48 KBytes
9,460.00-461.00,636 KBytes,5.21 Mbits/sec,4,5.66 KBytes
11,460.00-461.00,382 KBytes,3.13 Mbits/sec,3,5.66 KBytes
13,460.00-461.00,445 KBytes,3.65 Mbits/sec,7,4.24 KBytes
7,461.00-462.00,764 KBytes,6.26 Mbits/sec,3,15.6 KBytes
9,461.00-462.00,636 KBytes,5.21 Mbits/sec,0,33.9 KBytes
11,461.00-462.00,382 KBytes,3.13 Mbits/sec,0,28.3 KBytes
13,461.00-462.00,445 KBytes,3.65 Mbits/sec,0,31.1 KBytes
9,462.00-463.00,636 KBytes,5.21 Mbits/sec,4,25.5 KBytes
11,462.00-463.00,382 KBytes,3.13 Mbits/sec,5,17.0 KBytes
13,462.00-463.00,445 KBytes,3.65 Mbits/sec,11,36.8 KBytes
7,463.00-464.00,764 KBytes,6.26 Mbits/sec,4,12.7 KBytes
9,463.00-464.00,636 KBytes,5.21 Mbits/sec,4,19.8 KBytes
11,463.00-464.00,382 KBytes,3.13 Mbits/sec,2,15.6 KBytes
13,463.00-464.00,445 KBytes,3.65 Mbits/sec,3,21.2 KBytes
9,464.00-465.00,636 KBytes,5.21 Mbits/sec,6,25.5 KBytes
11,464.00-465.00,382 KBytes,3.13 Mbits/sec,7,24.0 KBytes
13,464.00-465.00,445 KBytes,3.65 Mbits/sec,5,11.3 KBytes
7,465.00-466.00,764 KBytes,6.25 Mbits/sec,17,14.1 KBytes
9,465.00-466.00,636 KBytes,5.21 Mbits/sec,8,41.0 KBytes
11,465.00-466.00,382 KBytes,3.13 Mbits/sec,8,26.9 KBytes
13,465.00-466.00,445 KBytes,3.65 Mbits/sec,2,33.9 KBytes
9,466.00-467.00,636 KBytes,5.21 Mbits/sec,0,60.8 KBytes
11,466.00-467.00,764 KBytes,6.26 Mbits/sec,0,48.1 KBytes
13,466.00-467.00,891 KBytes,7.30 Mbits/sec,0,52.3 KBytes
7,467.00-468.00,764 KBytes,6.25 Mbits/sec,18,22.6 KBytes
9,467.00-468.00,636 KBytes,5.21 Mbits/sec,12,29.7 KBytes
11,467.00-468.00,382 KBytes,3.13 Mbits/sec,24,26.9 KBytes
13,467.00-468.00,445 KBytes,3.65 Mbits/sec,23,29.7 KBytes
9,468.00-469.00,636 KBytes,5.21 Mbits/sec,9,8.48 KBytes
11,468.00-469.00,382 KBytes,3.13 Mbits/sec,5,17.0 KBytes
13,468.00-469.00,445 KBytes,3.65 Mbits/sec,9,17.0 KBytes
7,469.00-470.00,764 KBytes,6.25 Mbits/sec,0,39.6 KBytes
9,469.00-470.00,636 KBytes,5.21 Mbits/sec,12,17.0 KBytes
11,469.00-470.00,764 KBytes,6.25 Mbits/sec,4,12.7 KBytes
13,469.00-470.00,891 KBytes,7.30 Mbits/sec,12,19.8 KBytes
7,470.00-471.00,764 KBytes,6.26 Mbits/sec,8,15.6 KBytes
11,470.00-471.00,382 KBytes,3.13 Mbits/sec,3,17.0 KBytes
13,470.00-471.00,445 KBytes,3.65 Mbits/sec,3,24.0 KBytes
7,471.00-472.00,764 KBytes,6.26 Mbits/sec,3,32.5 KBytes
9,471.00-472.00,636 KBytes,5.21 Mbits/sec,1,38.2 KBytes
11,471.00-472.00,764 KBytes,6.26 Mbits/sec,6,33.9 KBytes
13,471.00-472.00,445 KBytes,3.65 Mbits/sec,7,25.5 KBytes
9,472.00-473.00,636 KBytes,5.21 Mbits/sec,10,42.4 KBytes
11,472.00-473.00,382 KBytes,3.13 Mbits/sec,1,36.8 KBytes
7,473.00-474.00,764 KBytes,6.26 Mbits/sec,7,26.9 KBytes
9,473.00-474.00,636 KBytes,5.21 Mbits/sec,4,38.2 KBytes
11,473.00-474.00,764 KBytes,6.26 Mbits/sec,2,32.5 KBytes
13,473.00-474.00,891 KBytes,7.30 Mbits/sec,1,31.1 KBytes
7,474.00-475.00,764 KBytes,6.26 Mbits/sec,7,8.48 KBytes
9,474.00-475.00,636 KBytes,5.21 Mbits/sec,5,15.6 KBytes
11,474.00-475.00,382 KBytes,3.13 Mbits/sec,18,7.07 KBytes
13,474.00-475.00,445 KBytes,3.65 Mbits/sec,3,8.48 KBytes
9,475.00-476.00,636 KBytes,5.21 Mbits/sec,4,26.9 KBytes
11,475.00-476.00,382 KBytes,3.13 Mbits/sec,5,12.7 KBytes
13,475.00-476.00,445 KBytes,3.65 Mbits/sec,6,18.4 KBytes
7,476.00-477.00,764 KBytes,6.26 Mbits/sec,0,35.4 KBytes
9,476.00-477.00,636 KBytes,5.21 Mbits/sec,0,26.9 KBytes
11,476.00-477.00,382 KBytes,3.13 Mbits/sec,0,28.3 KBytes
13,476.00-477.00,445 KBytes,3.65 Mbits/sec,0,28.3 KBytes
7,477.00-478.00,764 KBytes,6.25 Mbits/sec,11,24.0 KBytes
9,477.00-478.00,636 KBytes,5.21 Mbits/sec,3,17.0 KBytes
11,477.00-478.00,382 KBytes,3.13 Mbits/sec,11,24.0 KBytes
13,477.00-478.00,445 KBytes,3.65 Mbits/sec,7,9.90 KBytes
9,478.00-479.00,636 KBytes,5.21 Mbits/sec,6,28.3 KBytes
11,478.00-479.00,764 KBytes,6.26 Mbits/sec,15,39.6 KBytes
13,478.00-479.00,445 KBytes,3.65 Mbits/sec,4,29.7 KBytes
7,479.00-480.00,764 KBytes,6.26 Mbits/sec,0,49.5 KBytes
9,479.00-480.00,636 KBytes,5.21 Mbits/sec,0,48.1 KBytes
11,479.00-480.00,764 KBytes,6.26 Mbits/sec,0,55.1 KBytes
13,479.00-480.00,445 KBytes,3.65 Mbits/sec,0,49.5 KBytes
7,480.00-481.00,764 KBytes,6.25 Mbits/sec,1,29.7 KBytes
11,480.00-481.00,764 KBytes,6.25 Mbits/sec,10,18.4 KBytes
13,480.00-481.00,509 KBytes,4.17 Mbits/sec,12,26.9 KBytes
7,481.00-482.00,764 KBytes,6.25 Mbits/sec,1,17.0 KBytes
9,481.00-482.00,1.24 MBytes,10.4 Mbits/sec,7,12.7 KBytes
11,481.00-482.00,382 KBytes,3.13 Mbits/sec,10,15.6 KBytes
13,481.00-482.00,891 KBytes,7.30 Mbits/sec,6,17.0 KBytes
