config,start_queue_length,max_queue_length,avg_queue_length
NON_PCN,4.0,61.0,5.275350475470946
PCN,2.5,54.0,5.898739606999129
PCN_MIN,1.5,51.77500000000009,4.9235646756175475
PCN_FIN_MIN,2.5,53.039999999999964,5.445349309010478
PCN_HARMONIC,4.0,82.0,8.03494406084162
PCN_FIN_HARMONIC,1.0,76.77500000000009,8.857562387422107
