traffic,avg_duration,std_dev
Traffic1,53.375,2.9553976043842223
Traffic2,53.25,2.7363296585024255
Traffic3,54.025,3.372591733370643
Traffic4,54.25,2.843853020111975
Traffic5,52.5,6.2289646009589745
Traffic6,54.4,3.031501278244824
