traffic,avg_duration,std_dev
Traffic1,33.5,1.9493588689617927
Traffic2,33.725,2.109354166563785
Traffic3,33.175,3.081294370877278
Traffic4,32.775,5.419813188662502
Traffic5,32.675,3.0280975875952216
Traffic6,33.6,2.6248809496813377
