iteration,start_time,end_time,duration
1,2025-05-02T10:35:27.770020,2025-05-02T10:36:27.165466,59.4
2,2025-05-02T10:36:32.166648,2025-05-02T10:37:20.890797,48.72
3,2025-05-02T10:37:25.894296,2025-05-02T10:38:22.610467,56.72
4,2025-05-02T10:38:27.615777,2025-05-02T10:39:05.573809,37.96
5,2025-05-02T10:39:10.578870,2025-05-02T10:39:57.424051,46.85
6,2025-05-02T10:40:02.426295,2025-05-02T10:40:59.694151,57.27
7,2025-05-02T10:41:04.694884,2025-05-02T10:41:56.200218,51.51
8,2025-05-02T10:42:01.202242,2025-05-02T10:42:55.236061,54.03
9,2025-05-02T10:43:00.240747,2025-05-02T10:43:55.473854,55.23
10,2025-05-02T10:44:00.478256,2025-05-02T10:44:58.589115,58.11
11,2025-05-02T10:45:03.594239,2025-05-02T10:45:54.423133,50.83
12,2025-05-02T10:45:59.426266,2025-05-02T10:46:53.840803,54.41
13,2025-05-02T10:46:58.842668,2025-05-02T10:47:50.168537,51.33
14,2025-05-02T10:47:55.170283,2025-05-02T10:48:51.016076,55.85
15,2025-05-02T10:48:56.021085,2025-05-02T10:49:52.332680,56.31
16,2025-05-02T10:49:57.333206,2025-05-02T10:50:57.239884,59.91
17,2025-05-02T10:51:02.242272,2025-05-02T10:52:01.454156,59.21
18,2025-05-02T10:52:06.458381,2025-05-02T10:53:04.712143,58.25
19,2025-05-02T10:53:09.715873,2025-05-02T10:54:10.984948,61.27
20,2025-05-02T10:54:15.986201,2025-05-02T10:55:14.260112,58.27
