start_time,end_time,transfer,bandwidth
0.0,1.0,1.53 MBytes,12.8 Mbits/sec
1.0,2.0,3.11 MBytes,26.1 Mbits/sec
2.0,3.0,2.67 MBytes,22.4 Mbits/sec
3.0,4.0,2.49 MBytes,20.9 Mbits/sec
4.0,5.0,1.80 MBytes,15.1 Mbits/sec
5.0,6.0,1.49 MBytes,12.5 Mbits/sec
6.0,7.0,1.68 MBytes,14.1 Mbits/sec
7.0,8.0,1.43 MBytes,12.0 Mbits/sec
8.0,9.0,1.68 MBytes,14.1 Mbits/sec
9.0,10.0,1.74 MBytes,14.6 Mbits/sec
10.0,10.26,573 KBytes,17.7 Mbits/sec
0.0,10.26,20.2 MBytes,16.5 Mbits/sec
0.0,10.3,19.8 MBytes,16.1 Mbits/sec
