start_time,end_time,transfer,bandwidth
0.0,1.0,568 KBytes,4.66 Mbits/sec
1.0,2.0,704 KBytes,5.77 Mbits/sec
2.0,3.0,764 KBytes,6.26 Mbits/sec
3.0,4.0,891 KBytes,7.30 Mbits/sec
4.0,5.0,954 KBytes,7.82 Mbits/sec
5.0,6.0,636 KBytes,5.21 Mbits/sec
6.0,7.0,891 KBytes,7.30 Mbits/sec
7.0,8.0,954 KBytes,7.82 Mbits/sec
8.0,9.0,954 KBytes,7.82 Mbits/sec
9.0,10.0,573 KBytes,4.69 Mbits/sec
10.0,11.0,954 KBytes,7.82 Mbits/sec
11.0,12.0,764 KBytes,6.25 Mbits/sec
12.0,12.96,764 KBytes,6.49 Mbits/sec
0.0,12.96,10.1 MBytes,6.55 Mbits/sec
0.0,13.02,9.75 MBytes,6.28 Mbits/sec
