ID,Interval,Transfer,Bitrate,Retr,Cwnd
9,17.00-18.00,445 KBytes,3.65 Mbits/sec,0,22.6 KBytes
11,17.00-18.00,636 KBytes,5.21 Mbits/sec,0,32.5 KBytes
13,17.00-18.00,636 KBytes,5.21 Mbits/sec,0,25.5 KBytes
7,18.00-19.00,636 KBytes,5.21 Mbits/sec,2,5.66 KBytes
9,18.00-19.00,573 KBytes,4.69 Mbits/sec,8,11.3 KBytes
11,18.00-19.00,891 KBytes,7.30 Mbits/sec,4,8.48 KBytes
13,18.00-19.00,700 KBytes,5.73 Mbits/sec,10,14.1 KBytes
7,19.00-20.00,509 KBytes,4.17 Mbits/sec,1,19.8 KBytes
9,19.00-20.00,891 KBytes,7.30 Mbits/sec,0,26.9 KBytes
11,19.00-20.00,509 KBytes,4.17 Mbits/sec,2,17.0 KBytes
13,19.00-20.00,700 KBytes,5.73 Mbits/sec,7,22.6 KBytes
7,20.00-21.00,509 KBytes,4.17 Mbits/sec,0,12.7 KBytes
9,20.00-21.00,445 KBytes,3.65 Mbits/sec,1,17.0 KBytes
11,20.00-21.00,509 KBytes,4.17 Mbits/sec,0,22.6 KBytes
13,20.00-21.00,700 KBytes,5.73 Mbits/sec,0,21.2 KBytes
7,21.00-22.00,509 KBytes,4.17 Mbits/sec,0,18.4 KBytes
9,21.00-22.00,700 KBytes,5.73 Mbits/sec,4,22.6 KBytes
11,21.00-22.00,636 KBytes,5.21 Mbits/sec,3,19.8 KBytes
13,21.00-22.00,636 KBytes,5.21 Mbits/sec,0,24.0 KBytes
7,22.00-23.00,509 KBytes,4.17 Mbits/sec,14,25.5 KBytes
9,22.00-23.00,445 KBytes,3.65 Mbits/sec,1,15.6 KBytes
11,22.00-23.00,509 KBytes,4.17 Mbits/sec,6,15.6 KBytes
13,22.00-23.00,573 KBytes,4.69 Mbits/sec,5,18.4 KBytes
7,23.00-24.00,636 KBytes,5.21 Mbits/sec,0,18.4 KBytes
9,23.00-24.00,382 KBytes,3.13 Mbits/sec,0,22.6 KBytes
