start_time,end_time,transfer,bandwidth
0.0,1.0,2.27 MBytes,19.1 Mbits/sec
1.0,2.0,1.74 MBytes,14.6 Mbits/sec
2.0,3.0,1.68 MBytes,14.1 Mbits/sec
3.0,4.0,1.68 MBytes,14.1 Mbits/sec
4.0,5.0,2.42 MBytes,20.3 Mbits/sec
5.0,6.0,2.17 MBytes,18.2 Mbits/sec
6.0,7.0,1.74 MBytes,14.6 Mbits/sec
7.0,8.0,1.18 MBytes,9.90 Mbits/sec
8.0,9.0,1.12 MBytes,9.38 Mbits/sec
9.0,10.0,1.74 MBytes,14.6 Mbits/sec
10.0,11.0,2.05 MBytes,17.2 Mbits/sec
11.0,11.05,255 KBytes,39.7 Mbits/sec
0.0,11.05,20.0 MBytes,15.2 Mbits/sec
0.0,11.07,19.5 MBytes,14.8 Mbits/sec
