Connecting to host 10.0.0.7, port 5201
[  5] local 10.0.0.1 port 48222 connected to 10.0.0.7 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  27.00-28.00  sec   382 KBytes  3.13 Mbits/sec    2   11.3 KBytes       
[  5]  28.00-29.00  sec   509 KBytes  4.17 Mbits/sec    3   5.66 KBytes       
[  5]  29.00-30.00  sec   255 KBytes  2.08 Mbits/sec    0   9.90 KBytes       
[  5]  30.00-31.00  sec   382 KBytes  3.13 Mbits/sec    0   19.8 KBytes       
[  5]  31.00-32.00  sec   382 KBytes  3.13 Mbits/sec    0   18.4 KBytes       
[  5]  32.00-33.00  sec   382 KBytes  3.13 Mbits/sec    0   9.90 KBytes       
[  5]  33.00-34.00  sec   382 KBytes  3.13 Mbits/sec    9   8.48 KBytes       
[  5]  34.00-35.00  sec   255 KBytes  2.09 Mbits/sec    0   11.3 KBytes       
[  5]  35.00-36.00  sec   382 KBytes  3.13 Mbits/sec    0   11.3 KBytes       
[  5]  36.00-37.00  sec   382 KBytes  3.13 Mbits/sec    0   4.24 KBytes       
[  5]  37.00-38.00  sec   255 KBytes  2.08 Mbits/sec    2   9.90 KBytes       
[  5]  38.00-39.00  sec   382 KBytes  3.13 Mbits/sec    0   18.4 KBytes       
[  5]  39.00-40.00  sec   509 KBytes  4.17 Mbits/sec    7   5.66 KBytes       
[  5]  40.00-41.00  sec   255 KBytes  2.08 Mbits/sec    0   11.3 KBytes       
[  5]  41.00-42.00  sec   509 KBytes  4.17 Mbits/sec    8   9.90 KBytes       
[  5]  42.00-43.00  sec   382 KBytes  3.13 Mbits/sec    2   18.4 KBytes       
[  5]  43.00-44.00  sec   509 KBytes  4.17 Mbits/sec    1   7.07 KBytes       
[  5]  44.00-45.00  sec   382 KBytes  3.13 Mbits/sec    1   12.7 KBytes       
[  5]  45.00-46.00  sec   255 KBytes  2.08 Mbits/sec    2   2.83 KBytes       
[  5]  46.00-47.00  sec   255 KBytes  2.08 Mbits/sec    0   9.90 KBytes       
[  5]  47.00-48.00  sec   255 KBytes  2.09 Mbits/sec    0   17.0 KBytes       
[  5]  48.00-49.00  sec   509 KBytes  4.17 Mbits/sec    0   14.1 KBytes       
[  5]  49.00-50.00  sec   255 KBytes  2.09 Mbits/sec    2   4.24 KBytes       
[  5]  50.00-51.00  sec   255 KBytes  2.09 Mbits/sec    6   9.90 KBytes       
[  5]  51.00-52.00  sec   255 KBytes  2.08 Mbits/sec    0   17.0 KBytes       
[  5]  52.00-53.00  sec   382 KBytes  3.13 Mbits/sec    0   24.0 KBytes       
[  5]  53.00-54.00  sec   255 KBytes  2.08 Mbits/sec    2   11.3 KBytes       
