device,config,avg_bw_mbps,std_bw_mbps
flow_1,NON_PCN,16.078514285714284,5.0153839839975145
flow_2,NON_PCN,16.31025035765379,6.235610663936567
flow_1,NON_PCN,15.818012866333095,4.2901555508278575
flow_2,NON_PCN,16.301192857142855,4.819916975272541
flow_1,PCN,16.83937857142857,4.545091949357268
flow_2,PCN,17.491917024320454,5.461848420682445
flow_1,PCN,18.0265,4.176393082382384
flow_2,PCN,16.708614285714283,4.6226342298145395
flow_1,PCN_MIN,16.321204906204905,6.922298436774316
flow_2,PCN_MIN,16.06221181556196,6.348009508406783
flow_1,PCN_MIN,15.453540772532191,5.159141197148458
flow_2,PCN_MIN,15.974599427753933,5.5729376322023745
flow_1,PCN_FIN_MIN,17.061517537580528,8.262006026451258
flow_2,PCN_FIN_MIN,15.357457142857141,5.4832496326428135
flow_1,PCN_FIN_MIN,16.432407142857144,5.770405060548707
flow_2,PCN_FIN_MIN,15.843057142857141,4.992380774413616
flow_1,PCN_HARMONIC,15.405255474452556,6.086500688257865
flow_2,PCN_HARMONIC,15.327848285922684,6.050898068412097
flow_1,PCN_HARMONIC,16.161283345349673,6.371553292527148
flow_2,PCN_HARMONIC,14.745914285714285,4.800659421201148
flow_1,PCN_FIN_HARMONIC,16.577663082437276,5.776690956748859
flow_2,PCN_FIN_HARMONIC,14.60727139722019,5.833904506128081
flow_1,PCN_FIN_HARMONIC,16.661294964028777,6.652131030273792
flow_2,PCN_FIN_HARMONIC,15.06417857142857,4.493228894312383
