device,config,avg_bw_mbps,std_bw_mbps
flow_1,NON_PCN,3.487261538461538,1.0634749829168249
flow_2,NON_PCN,3.4511008468052347,1.2452429963384652
flow_3,NON_PCN,3.4728692307692306,0.9489631985120274
flow_4,NON_PCN,3.4504576923076917,1.1043138411468547
flow_1,NON_PCN,3.341278574196048,1.4124668231239499
flow_2,NON_PCN,3.3355031695721076,1.2778102339733417
flow_3,NON_PCN,3.2539961538461535,1.100781047879106
flow_4,NON_PCN,3.225380769230769,0.9599840589699037
flow_1,PCN,3.8352192307692308,1.0390903705124575
flow_2,PCN,3.813415384615385,1.1081611711758246
flow_3,PCN,3.9868923076923086,1.068458467182826
flow_4,PCN,3.9917230769230776,1.0080344317637675
flow_1,PCN,3.9184884615384616,1.1228265774124637
flow_2,PCN,3.9318230769230778,1.2251307871493975
flow_3,PCN,4.271000401767778,1.2552619034941832
flow_4,PCN,3.9922423076923077,0.9953423120766338
flow_1,PCN_MIN,3.124253846153846,1.109784586246278
flow_2,PCN_MIN,3.0968386599922986,0.9703959839030152
flow_3,PCN_MIN,3.082402772429726,1.062086931950687
flow_4,PCN_MIN,3.112226502311248,1.0384245153695246
flow_1,PCN_MIN,3.240669230769231,0.9655433375802259
flow_2,PCN_MIN,3.2621062839410393,1.0753977853668817
flow_3,PCN_MIN,3.3221335952848716,1.2249578340968985
flow_4,PCN_MIN,3.211757435303206,1.1626699577010262
flow_1,PCN_FIN_MIN,3.2112120046171597,1.3032867679278168
flow_2,PCN_FIN_MIN,3.1985841049382713,1.2734339667890275
flow_3,PCN_FIN_MIN,3.2992067876874502,1.5511467491595619
flow_4,PCN_FIN_MIN,3.1413889957676027,1.186002089549608
flow_1,PCN_FIN_MIN,3.0627047244094485,1.343030202717255
flow_2,PCN_FIN_MIN,3.0218006182380215,1.2629974969900053
flow_3,PCN_FIN_MIN,2.9927466977466977,1.272203803567475
flow_4,PCN_FIN_MIN,2.9645923076923077,1.1910827278389242
flow_1,PCN_HARMONIC,3.2595482625482624,1.1870068082065248
flow_2,PCN_HARMONIC,3.2268976135488834,1.1765586348472905
flow_3,PCN_HARMONIC,3.217734104046243,1.2483757580734995
flow_4,PCN_HARMONIC,3.2885200927357032,1.390436483117412
flow_1,PCN_HARMONIC,3.2200887688151285,1.1740307645208297
flow_2,PCN_HARMONIC,3.205987654320987,1.1208088376100844
flow_3,PCN_HARMONIC,3.2471737451737455,1.3291282177553316
flow_4,PCN_HARMONIC,3.178785190898573,1.2033563220644259
flow_1,PCN_FIN_HARMONIC,4.770722958057394,1.78476492737421
flow_2,PCN_FIN_HARMONIC,3.2351216685979143,1.412233162574386
flow_3,PCN_FIN_HARMONIC,3.2541372625048464,1.4478773428992762
flow_4,PCN_FIN_HARMONIC,3.274850136239782,1.5016590238081773
flow_1,PCN_FIN_HARMONIC,3.2722841656987995,1.5691156290427992
flow_2,PCN_FIN_HARMONIC,3.2871677644323904,1.471137506259665
flow_3,PCN_FIN_HARMONIC,3.272223938223938,1.4285629831953224
flow_4,PCN_FIN_HARMONIC,3.238138277327154,1.3899032017359048
