device,avg_bw_before,avg_bw_during,avg_bw_after
flow_1,5.457875,3.3049807106598985,5.629479166666667
flow_2,5.561625,3.298877928483354,4.610104166666667
flow_3,5.1565,3.2821480582524267,4.561145833333334
flow_4,5.377750000000001,3.251421925566343,4.392812500000001
ALL_DEVICES,5.3884375,3.2843571557405054,4.798385416666667
