device,avg_bw_before,avg_bw_during,avg_bw_after
flow_1,4.491333333333333,3.796835564053538,4.380030487804878
flow_2,4.563555555555556,3.8201242829827917,4.297560975609756
flow_3,4.692471264367816,4.194496240601504,4.518781250000001
flow_4,4.137555555555555,3.9361328871892924,4.270365853658537
ALL_DEVICES,4.471228927203065,3.936897243706781,4.366684641768293
