config,start_queue_length,max_queue_length,avg_queue_length
NON_PCN,2.5,49.5,4.674119518184359
PCN,24.5,44.5,4.600934270861808
PCN_MIN,3.0,47.0,4.474222935430254
PCN_FIN_MIN,1.0,38.5,4.019963118278728
PCN_HARMONIC,1.0,64.0,5.8840327809839765
PCN_FIN_HARMONIC,2.0,53.29500000000007,5.098553461897435
